date,ai_proxy
2015-01-01,1.0
2015-02-01,1.0
2015-03-01,1.163454234126344
2015-04-01,1.292455877200395
2015-05-01,1.9352646218973468
2015-06-01,2.3318912950236395
2015-07-01,1.5684117362930872
2015-08-01,1.6702566537808665
2015-09-01,1.690625634951328
2015-10-01,1.6356421900459412
2015-11-01,1.697553970771986
2015-12-01,1.6786637417029997
2016-01-01,1.6247307704558502
2016-02-01,1.9446445516103712
2016-03-01,2.219978168946177
2016-04-01,2.4281196015956303
2016-05-01,2.3545402177898507
2016-06-01,2.640109216355343
2016-07-01,2.458711426774995
2016-08-01,2.659696008756856
2016-09-01,2.5008621099153565
2016-10-01,2.162130629404844
2016-11-01,2.226929973513303
2016-12-01,2.3750173332167845
2017-01-01,2.0048831747733664
2017-02-01,2.1306019218599532
2017-03-01,2.0909012618232756
2017-04-01,2.3333366882276807
2017-05-01,2.904551491107518
2017-06-01,2.698304115451805
2017-07-01,2.669189622846365
2017-08-01,2.5217760733104533
2017-09-01,2.710746373332546
2017-10-01,2.640063838015617
2017-11-01,2.860609713262707
2017-12-01,2.9880821702830924
2018-01-01,2.9698713073194245
2018-02-01,3.0598674050730947
2018-03-01,3.308090850344999
2018-04-01,3.42633707059837
2018-05-01,3.9179899373531657
2018-06-01,4.0291498004443875
2018-07-01,4.102614475952171
2018-08-01,3.7861890615802976
2018-09-01,3.4614337897298637
2018-10-01,3.986242503301929
2018-11-01,3.5259643718946925
2018-12-01,3.9715437260300193
2019-01-01,3.843068803307732
2019-02-01,3.7448505983614058
2019-03-01,3.7360944870116866
2019-04-01,3.8923965828364864
2019-05-01,4.6374390792153095
2019-06-01,4.794944922767375
2019-07-01,4.625777706930683
2019-08-01,4.55957224515299
2019-09-01,4.245869158829571
2019-10-01,4.508009809284437
2019-11-01,4.602853733248375
2019-12-01,3.786899686380404
2020-01-01,4.408658338480818
2020-02-01,4.3790235948458935
2020-03-01,4.473322891467083
2020-04-01,4.319997841619995
2020-05-01,4.443212763181644
2020-06-01,4.634684218387914
2020-07-01,4.474854422068301
2020-08-01,4.6486453242056935
2020-09-01,5.186320036267765
2020-10-01,4.551979646069312
2020-11-01,4.349132649759066
2020-12-01,4.354986123972751
2021-01-01,4.299306802227669
2021-02-01,4.0351137592798345
2021-03-01,4.743684334306301
2021-04-01,4.441412168114532
2021-05-01,4.501492199797921
2021-06-01,4.541212901934644
2021-07-01,4.719985420753929
2021-08-01,5.101968765448816
2021-09-01,5.229978734720989
2021-10-01,4.24351155046006
2021-11-01,4.4339496303337915
2021-12-01,4.754727217273672
2022-01-01,4.368440027942586
2022-02-01,3.986928716882357
2022-03-01,4.448894974887016
2022-04-01,4.824724074241873
2022-05-01,4.861893908641476
2022-06-01,4.869276440918638
2022-07-01,4.931603247285627
2022-08-01,5.153418872473339
2022-09-01,5.635474138927823
2022-10-01,4.654000654786171
2022-11-01,4.840333612245287
2022-12-01,4.967529145038627
2023-01-01,5.169117893072051
2023-02-01,5.691983837748001
2023-03-01,6.026166494582888
2023-04-01,6.222651924717916
2023-05-01,6.358423777551888
2023-06-01,6.574222915567054
2023-07-01,7.143983656816416
2023-08-01,7.603970750169405
2023-09-01,7.811822564292163
2023-10-01,8.403935704128571
2023-11-01,8.166148654495867
2023-12-01,8.266537008726749
