timestamp,total_gen_mw,total_emissions_kg,carbon_intensity
2019-01-01,75082.13043478261,591296020.0,340.45301375273345
2019-01-02,87097.29166666667,775268300.0,369.3149984805204
2019-01-03,85738.5,730779420.0,354.4204170432491
2019-01-04,87235.625,773674780.0,368.4582956464023
2019-01-05,82240.16666666667,689752440.0,349.27226754724455
2019-01-06,80594.70833333333,670478600.0,346.0293476308905
2019-01-07,90082.375,771705520.0,355.85622532592623
2019-01-08,85444.25,725739540.0,353.2182528559137
2019-01-09,91501.75,810640440.0,366.7093667861725
2019-01-10,97564.79166666667,986408700.0,419.71743786613507
2019-01-11,95993.58333333333,1007358080.0,437.1039855090103
2019-01-12,92170.66666666667,921166020.0,416.4557480045439
2019-01-13,91441.875,907479520.0,412.3526708662089
2019-01-14,97640.04166666667,1024999620.0,436.82772994397345
2019-01-15,99002.08333333333,1042150160.0,438.3218101745254
2019-01-16,97943.25,1021126080.0,434.256815029323
2019-01-17,96761.41666666667,1004663660.0,432.23492613905705
2019-01-18,92543.95833333333,944384500.0,424.8264519165958
2019-01-19,90377.29166666667,876530480.0,403.5321455127346
2019-01-20,94845.95833333333,1000495860.0,436.66024599938504
2019-01-21,114625.125,1328495280.0,482.20312481690706
2019-01-22,110485.91666666667,1279034460.0,482.3638921053818
2019-01-23,100319.0,1059569180.0,439.7606565004965
2019-01-24,96159.54166666667,961194340.0,416.1481816795966
2019-01-25,99527.16666666667,1028784380.0,429.7754543792816
2019-01-26,97461.25,1034063520.0,441.5099847408239
2019-01-27,94498.70833333333,968722080.0,426.74168155505754
2019-01-28,99701.79166666667,996738820.0,415.5741387761298
2019-01-29,109763.0,1122505100.0,424.3891200182679
2019-01-30,119117.625,1325824040.0,461.99699041239086
2019-01-31,122290.20833333333,1440550760.0,490.5506074771429
2019-02-01,115890.45833333333,1327957360.0,477.5410896434012
2019-02-02,101158.125,974837240.0,400.4224497381199
2019-02-03,88990.20833333333,764772380.0,357.14951210598286
2019-02-04,91791.41666666667,782091300.0,354.3418427798294
2019-02-05,90685.375,816685060.0,374.0102743813466
2019-02-06,89816.875,801555940.0,370.562800147161
2019-02-07,91682.91666666667,801385060.0,363.43703617061107
2019-02-08,97495.29166666667,838565820.0,356.4760006378208
2019-02-09,98040.95833333333,922504260.0,391.150988564294
2019-02-10,97999.45833333333,945366320.0,401.7062422149984
