timestamp,Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Nuclear,Net Generation (MW) from Hydropower and Pumped Storage,Net Generation (MW) from Solar,Net Generation (MW) from Wind,Net Generation (MW) from Other Fuel Sources
2019-01-06,20050.81818181818,22425.874125874125,143.5944055944056,34517.06993006993,2511.125874125874,82.34965034965035,2743.146853146853,579.4475524475524
2019-01-13,26341.083333333332,23772.815476190477,209.01785714285714,34271.880952380954,2655.0,123.64285714285714,3905.029761904762,750.0
2019-01-20,30380.559523809523,25291.291666666668,212.9404761904762,34517.33928571428,2197.339285714286,112.48809523809524,2031.1785714285713,844.577380952381
2019-01-27,34428.79761904762,25586.428571428572,416.0654761904762,34559.291666666664,2223.464285714286,177.26785714285714,3369.5714285714284,1107.2142857142858
2019-02-03,33060.47619047619,32708.660714285714,456.3690476190476,34191.19642857143,2240.035714285714,193.0654761904762,4082.6964285714284,1197.702380952381
2019-02-10,21878.035714285714,31392.696428571428,208.82738095238096,34273.05952380953,2161.9523809523807,213.4345238095238,3266.4464285714284,535.875
2019-02-17,23256.583333333332,33956.125,139.0297619047619,34132.75,2074.1428571428573,149.60119047619048,3703.6488095238096,564.3154761904761
2019-02-24,23993.875,34584.958333333336,146.14880952380952,32181.434523809523,2042.1309523809523,116.625,3089.660714285714,663.8214285714286
2019-03-03,25105.470238095237,36321.73809523809,203.625,31109.904761904763,2399.5535714285716,193.41071428571428,2165.089285714286,630.1547619047619
2019-03-10,30472.63473053892,35304.71856287425,293.49101796407183,29901.0,2239.083832335329,215.8682634730539,3977.0778443113772,873.1976047904192
2019-03-17,20081.88622754491,27904.209580838324,308.125748502994,29665.275449101795,2206.4850299401196,332.9520958083832,4124.502994011976,759.8682634730538
2019-03-24,21125.321428571428,31434.67261904762,88.67261904761905,29611.54761904762,2372.815476190476,294.125,2336.4821428571427,1217.797619047619
2019-03-31,20635.208333333332,30089.285714285714,82.96428571428571,28109.410714285714,2167.5,312.60714285714283,3188.684523809524,812.3154761904761
2019-04-07,19994.458333333332,30098.23214285714,84.88690476190476,28076.190476190477,2039.9642857142858,307.05357142857144,2926.3988095238096,1022.8690476190476
2019-04-14,18736.309523809523,24377.595238095237,73.14285714285714,29567.375,1983.845238095238,278.4107142857143,4275.952380952381,1042.625
2019-04-21,16833.52380952381,25116.77380952381,135.0297619047619,28862.488095238095,2315.345238095238,319.6488095238095,4370.3452380952385,854.6309523809524
2019-04-28,15715.52380952381,26259.35119047619,217.04761904761904,30157.72619047619,2423.4761904761904,324.07738095238096,3389.315476190476,720.547619047619
2019-05-05,20274.27380952381,26024.369047619046,221.2797619047619,31084.32738095238,2155.2678571428573,285.3988095238095,1898.6666666666667,793.4702380952381
2019-05-12,18884.32738095238,24400.178571428572,229.3154761904762,31770.178571428572,2189.3928571428573,293.3095238095238,2866.2976190476193,632.1666666666666
2019-05-19,19254.529761904763,25568.720238095237,219.88690476190476,32516.916666666668,2528.934523809524,357.0357142857143,2675.1428571428573,715.4345238095239
2019-05-26,19564.744047619046,29430.684523809523,236.99404761904762,33022.11309523809,2301.7916666666665,406.82738095238096,3536.3928571428573,886.5178571428571
2019-06-02,20646.14285714286,33997.982142857145,216.32142857142858,32365.95238095238,2415.2916666666665,364.01785714285717,2193.0416666666665,1065.672619047619
2019-06-09,19025.5,33775.255952380954,183.29166666666666,32120.76785714286,1947.732142857143,319.7916666666667,2453.940476190476,1069.845238095238
2019-06-16,15994.107142857143,30633.5,219.61309523809524,33122.07142857143,1673.857142857143,391.875,3584.7083333333335,898.2738095238095
2019-06-23,22325.636904761905,35883.857142857145,206.26190476190476,33697.44642857143,2349.440476190476,336.29761904761904,1622.5238095238096,1114.6130952380952
2019-06-30,27119.934523809523,42945.86309523809,232.4345238095238,33578.65476190476,2277.0714285714284,405.1488095238095,2167.8035714285716,1109.547619047619
