timestamp,avg_cpu_utilization,num_tasks_sampled,temperature_c,carbon_intensity_kg_per_mwh,measured_power_util,production_power_util,power_sample_count
2019-05-01 06:00:00+00:00,0.0079828774406607,626350,14.9,305.72472094550227,,,
2019-05-01 07:00:00+00:00,0.008020671427672,7568362,14.4,302.9345528399121,0.7202,0.6353166666666666,60.0
2019-05-01 08:00:00+00:00,0.0074764018216919,7828082,14.2,312.34442836468884,0.713,0.6329333333333333,60.0
2019-05-01 09:00:00+00:00,0.0072650913752591,8171336,13.6,313.88794474732504,0.7172333333333333,0.6338166666666667,60.0
2019-05-01 10:00:00+00:00,0.0072811877713541,8293739,13.0,334.1464956875838,0.7165333333333332,0.6379333333333335,60.0
2019-05-01 11:00:00+00:00,0.0075139481834359,8122097,12.9,351.50464204416795,0.7186,0.6395666666666666,60.0
2019-05-01 12:00:00+00:00,0.0082601112994491,8009427,12.5,358.27088937894723,0.7317333333333333,0.6570333333333335,60.0
2019-05-01 13:00:00+00:00,0.0083590358044261,8117538,13.4,360.9194615560119,0.7358666666666667,0.6682833333333333,60.0
2019-05-01 14:00:00+00:00,0.0084365336995451,8072643,14.7,365.3357501016398,0.7334666666666666,0.6747333333333333,60.0
2019-05-01 15:00:00+00:00,0.0084827072894397,8012550,16.2,365.9626473496506,0.7309333333333333,0.6736500000000001,60.0
2019-05-01 16:00:00+00:00,0.0089080367180737,8020863,17.5,370.4972449047335,0.7463333333333333,0.6822666666666667,60.0
2019-05-01 17:00:00+00:00,0.0092671507181219,7586436,19.9,364.9689060173425,0.7456166666666667,0.6801166666666666,60.0
2019-05-01 18:00:00+00:00,0.0099947324156364,7421277,21.1,361.9584234376189,0.7570833333333334,0.6847333333333333,60.0
2019-05-01 19:00:00+00:00,0.0100003253273301,7336585,22.2,364.1564353402053,0.7580166666666667,0.6782833333333333,60.0
2019-05-01 20:00:00+00:00,0.0099078207719174,7451588,23.2,372.4664012756126,0.7606166666666666,0.6746333333333333,60.0
2019-05-01 21:00:00+00:00,0.0097160647851721,7475630,24.1,373.5260159267972,0.7533,0.6694500000000001,60.0
2019-05-01 22:00:00+00:00,0.009577305587437,7365485,24.0,380.000217282663,0.7485166666666666,0.6643000000000001,60.0
2019-05-01 23:00:00+00:00,0.009597733861132,7531120,22.6,383.6923416464357,0.7544666666666666,0.6660833333333334,60.0
2019-05-02 00:00:00+00:00,0.0101079590117278,7278798,15.0,380.00260977360216,0.7519666666666668,0.6660999999999999,60.0
2019-05-02 01:00:00+00:00,0.0098373484823692,7364420,15.2,387.3937110273767,0.7461333333333333,0.6664500000000001,60.0
2019-05-02 02:00:00+00:00,0.0100010933024161,7203236,15.9,390.8142964141935,0.7558833333333334,0.6679499999999999,60.0
2019-05-02 03:00:00+00:00,0.0098398363997264,6896361,14.9,383.2239530448996,0.7363999999999999,0.6614166666666667,60.0
2019-05-02 04:00:00+00:00,0.0101066408046893,7493874,14.8,327.7201159329469,0.7729499999999999,0.6722333333333333,60.0
2019-05-02 05:00:00+00:00,0.0098748540087619,7460945,14.6,359.501919781052,0.7666833333333334,0.6687666666666667,60.0
2019-05-02 06:00:00+00:00,0.0097357786617354,7667717,14.2,348.8503011925321,0.7671333333333333,0.6707833333333334,60.0
2019-05-02 07:00:00+00:00,0.0097535929853943,7536434,15.4,339.02756823481,0.7530333333333333,0.6698166666666667,60.0
