feature,importance
hour_sin,0.36771321296691895
ci_lag_1,0.20811448991298676
ci_lag_24,0.06764828413724899
ci_roll_mean_3,0.04145127907395363
ci_ewm_12,0.037605173885822296
is_weekend,0.03441527858376503
is_business_hour,0.029541246592998505
hour_cos,0.029455414041876793
ci_roll_mean_24,0.02774195186793804
ci_lag_2,0.022689489647746086
dow_sin,0.01786082796752453
ci_roll_mean_6,0.014840325340628624
ci_lag_6,0.013756638392806053
ci_roll_std_12,0.01167856901884079
ci_lag_12,0.01126885786652565
ci_roll_mean_12,0.01081165112555027
ci_roll_std_24,0.010294581763446331
ci_roll_std_3,0.009153800085186958
temperature_f_lag1_for_ci,0.008332591503858566
dow_cos,0.008230765350162983
ci_roll_std_6,0.00658546993508935
ci_lag_3,0.005715320818126202
ci_lag_48,0.005094801541417837
