datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2/28/2024 5:00:00 AM,2/28/2024 12:00:00 AM,RTO,RTO,RTO,RTO,72866.865,False
2/28/2024 6:00:00 AM,2/28/2024 1:00:00 AM,RTO,RTO,RTO,RTO,70984.882,False
2/28/2024 7:00:00 AM,2/28/2024 2:00:00 AM,RTO,RTO,RTO,RTO,70078.412,False
2/28/2024 8:00:00 AM,2/28/2024 3:00:00 AM,RTO,RTO,RTO,RTO,69822.533,False
2/28/2024 9:00:00 AM,2/28/2024 4:00:00 AM,RTO,RTO,RTO,RTO,70994.456,False
2/28/2024 10:00:00 AM,2/28/2024 5:00:00 AM,RTO,RTO,RTO,RTO,74951.142,False
2/28/2024 11:00:00 AM,2/28/2024 6:00:00 AM,RTO,RTO,RTO,RTO,81595.575,False
2/28/2024 12:00:00 PM,2/28/2024 7:00:00 AM,RTO,RTO,RTO,RTO,86113.113,False
2/28/2024 1:00:00 PM,2/28/2024 8:00:00 AM,RTO,RTO,RTO,RTO,87850.063,False
2/28/2024 2:00:00 PM,2/28/2024 9:00:00 AM,RTO,RTO,RTO,RTO,88771.285,False
2/28/2024 3:00:00 PM,2/28/2024 10:00:00 AM,RTO,RTO,RTO,RTO,89434.151,False
2/28/2024 4:00:00 PM,2/28/2024 11:00:00 AM,RTO,RTO,RTO,RTO,89707.196,False
2/28/2024 5:00:00 PM,2/28/2024 12:00:00 PM,RTO,RTO,RTO,RTO,89795.619,False
2/28/2024 6:00:00 PM,2/28/2024 1:00:00 PM,RTO,RTO,RTO,RTO,90172.206,False
2/28/2024 7:00:00 PM,2/28/2024 2:00:00 PM,RTO,RTO,RTO,RTO,89912.713,False
2/28/2024 8:00:00 PM,2/28/2024 3:00:00 PM,RTO,RTO,RTO,RTO,90221.700,False
2/28/2024 9:00:00 PM,2/28/2024 4:00:00 PM,RTO,RTO,RTO,RTO,91447.985,False
2/28/2024 10:00:00 PM,2/28/2024 5:00:00 PM,RTO,RTO,RTO,RTO,93606.314,False
2/28/2024 11:00:00 PM,2/28/2024 6:00:00 PM,RTO,RTO,RTO,RTO,96065.739,False
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,RTO,RTO,RTO,RTO,96529.958,False
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,RTO,RTO,RTO,RTO,95370.109,False
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,RTO,RTO,RTO,RTO,93097.283,False
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,RTO,RTO,RTO,RTO,89797.678,False
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,RTO,RTO,RTO,RTO,86931.847,False
2/29/2024 5:00:00 AM,2/29/2024 12:00:00 AM,RTO,RTO,RTO,RTO,85195.827,False
2/29/2024 6:00:00 AM,2/29/2024 1:00:00 AM,RTO,RTO,RTO,RTO,84693.826,False
2/29/2024 7:00:00 AM,2/29/2024 2:00:00 AM,RTO,RTO,RTO,RTO,85083.096,False
2/29/2024 8:00:00 AM,2/29/2024 3:00:00 AM,RTO,RTO,RTO,RTO,85939.638,False
2/29/2024 9:00:00 AM,2/29/2024 4:00:00 AM,RTO,RTO,RTO,RTO,88578.137,False
2/29/2024 10:00:00 AM,2/29/2024 5:00:00 AM,RTO,RTO,RTO,RTO,94352.126,False
2/29/2024 11:00:00 AM,2/29/2024 6:00:00 AM,RTO,RTO,RTO,RTO,102311.934,False
2/29/2024 12:00:00 PM,2/29/2024 7:00:00 AM,RTO,RTO,RTO,RTO,105934.341,False
2/29/2024 1:00:00 PM,2/29/2024 8:00:00 AM,RTO,RTO,RTO,RTO,102993.156,False
2/29/2024 2:00:00 PM,2/29/2024 9:00:00 AM,RTO,RTO,RTO,RTO,99156.852,False
2/29/2024 3:00:00 PM,2/29/2024 10:00:00 AM,RTO,RTO,RTO,RTO,96346.964,False
2/29/2024 4:00:00 PM,2/29/2024 11:00:00 AM,RTO,RTO,RTO,RTO,93766.754,False
2/29/2024 5:00:00 PM,2/29/2024 12:00:00 PM,RTO,RTO,RTO,RTO,91319.347,False
2/29/2024 6:00:00 PM,2/29/2024 1:00:00 PM,RTO,RTO,RTO,RTO,89849.608,False
