"Table 5. Electric power industry generation by primary energy source, 1990 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Wind,50260,46969,50852,49583,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
..Wind - Offshore,50260,46969,50852,49583,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
Wood,1008578,1058112,1135812,1026352,802842,1012827,1204218,1176283,1254766,1198607,1128627,669861,341173,405112,422794,440576,506781,459154,482711,540332,50690,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.8,1
"IPP, commercial and industrial",26487857,22092801,19804217,21029118,22812135,22441825,23130533,19465983,16330496,16838521,14170524,13171706,14550834,13342195,14064402,10856698,12898129,14043775,11893186,13486965,13796387,13503073,12125526,11969252,11346651,8826540,8384878,9529343,10362207,10268551,9316640,9061605,7388762,5788441,5363959,14.7,19.3,22.1,25.8
Battery,-2348,-1513,-91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
Coal,112563,90205,122481,225471,199585,242423,813489,727678,893986,1208327,1775088,1424994,1607523,2637918,4093636,3174650,5997202,5995261,5734471,6621551,7883021,7947628,6983074,7112480,5796761,3701049,3404469,4483521,4551836,4054195,4141711,4687521,3549016,2882365,2899721,7.5,5.6,0.2,0.1
Hydroelectric,110407,106974,110092,111629,89158,74640,68602,60014,80496,86724,73580,83007,74416,78574,75576,82518,63581,65911,80487,93201,92936,111776,27842,40659,62370,61613,72312,80707,89335,77372,75286,66095,72131,67981,48136,0.1,0.1,0.1,0.1
Natural gas,18726789,15726838,13606770,15563322,18557978,18057114,17931041,15484922,11892144,11883098,8834318,8869755,10329179,8270215,7425280,4853295,3964532,4956232,3434359,3880291,2461538,1928392,2258525,2065429,2813477,2039874,2038080,588096,2809049,3550863,2529147,2238431,1298200,626447,376521,3.6,10.2,18,18.2
..Natural gas - CC,16637132,13627547,11454172,13357592,16073039,15830627,16128415,14298874,10683004,10943323,8261098,8464914,9934657,8004709,7001058,4530885,3542043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.6,15.6,16.2
..Natural gas - GT,1269418,1292306,1396888,1429467,1683165,1507827,1121468,583187,654070,447697,265295,139614,225071,169198,347437,259441,368633,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,1.6,1.2
..Natural gas - IC,10,1,20,30,162,1353,1582,1356,791,0,0,0,0,0,17,12,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0
..Natural gas - ST,820228,806984,755691,776232,801612,717307,679576,601504,554279,492077,307925,265227,169451,96307,76767,62958,53800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.8,0.8
Other,428413,478301,522940,527592,557208,558317,471227,213322,461826,461553,499767,474767,396689,470239,414121,420042,434205,476945,491019,478834,488023,452936,446923,396806,2476,1828,1987,2261,2333,7689,5621,4026,484,.,.,0,0.6,0.5,0.4
Other biomass,792234,897978,947509,987499,1066200,1078063,1169315,903606,1101848,1099390,1092185,955276,918748,776112,815345,709203,782172,773245,678408,695203,699237,673814,663350,598967,464454,1071609,1059387,1053131,898655,696511,652962,427508,759915,701130,620794,0.6,1.1,1,0.8
Other gas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2959,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Petroleum,69134,68623,220100,123332,88669,94318,258105,147258,153110,256910,269420,87552,129663,108247,258935,349250,246931,443009,177112,455524,489202,798022,337890,606805,529944,327711,271454,1912320,591951,481154,516304,342913,430041,317518,244114,0.7,0.4,0.1,0.1
..Petroleum - GT,27636,26229,64072,42065,24789,17939,131505,78641,104874,151714,178256,42259,75720,32535,55592,31251,38500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0,0
..Petroleum - IC,12686,15403,14117,12979,15184,17438,24940,24346,23099,26127,20556,7669,11970,5182,27885,15696,39205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0
..Petroleum - OTH,14054,7122,96948,15557,390,15202,45464,5044,12501,63996,53598,3119,862,23438,96733,212045,117470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0,0
..Petroleum - ST,14758,19868,44963,52732,48306,43739,56196,39228,12635,15072,17010,34506,41111,47092,78724,90258,51755,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0,0
Solar,4663912,3320146,2712439,1909681,704726,685098,621705,203992,15912,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,4.5
..Solar- PV,4663912,3320146,2712439,1909681,704726,685098,621705,203992,15912,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,4.5
Wood,1586754,1405250,1561977,1580592,1548610,1651852,1797049,1725191,1731175,1842520,1626166,1276356,1094616,1000891,981510,1267740,1409507,1333172,1297332,1262361,1682430,1587545,1407922,1148106,1677170,1622857,1537190,1409307,1419047,1400767,1395609,1295112,1278975,1193000,1174673,2.2,1.3,1.5,1.5
Total electric industry,102698615,91059344,89477325,93478182,103056001,96827639,95509121,90417149,92554876,84411592,77137438,76896565,70739235,66670859,72966456,70082066,72678531,78360507,73069537,78943045,78900040,75309420,75005651,74104744,77189371,73897608,72199443,68515334,66895125,62996021,62048926,61243511,56352355,54729096,52564458,100,100,100,100
Battery,-6741,-1513,-91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
Coal,1972109,1415027,3346073,3248473,3762795,3418111,9266276,10726422,16499412,17231426,20818584,21160501,14180795,19881113,25459221,25599288,31776356,35420746,34288141,35424875,35656006,37093331,38082381,37769916,39761317,35444523,34875766,34159932,32481847,28497065,26590655,29410002,26225034,24821392,23899901,51.5,34.9,3.7,1.9
Hydroelectric,1253138,1390685,1137050,1305725,2030174,1519283,1764860,1116355,1471462,1158428,955188,1253670,1043774,1210389,1500182,1478630,1010993,1248264,1351194,1484353,1583050,1781569,868216,1014222,711984,681686,1283296,1020276,1428502,995026,1146116,1313303,1089975,1080055,1309499,0.9,2.1,2,1.2
