stage,split,model,mae,rmse,mape,smape,r2,ci_mae_low,ci_mae_high,ci_rmse_low,ci_rmse_high,ci_mape_low,ci_mape_high,ci_smape_low,ci_smape_high,ci_r2_low,ci_r2_high,defensible,uplift_vs_persistence_rmse
Stage1_CPU,holdout,RandomForest,0.0003049935156150887,0.00039043395218680264,3.0571048462054833,3.101479600326734,0.29597457013605954,0.00025278869348397114,0.0003972104215277504,0.00031838256229501397,0.0004742584376731569,2.434965757182929,3.9292611131308837,2.5622660912265776,3.963803209363267,-0.25259971448282076,0.44873904846915297,False,-0.39764292114739846
Stage2_ITPower,holdout,Physics,0.021349546093056622,0.027330376653076596,0.06954117694303247,0.06956661373337023,0.2959745701360389,0.01769520854387815,0.027804729506942856,0.02228677936065142,0.03319809063712154,0.05483531077744449,0.09091453923128705,0.05778109118824402,0.08978948714656444,-0.25259971448287144,0.44873904846914053,,
Stage3_PUE,holdout,Physics,1.5249675780757141e-05,1.952169760934117e-05,0.0012309846310095364,0.0012309923901582414,0.9999999541852559,1.2639434674207664e-05,1.9860521076386862e-05,1.591912811475447e-05,2.3712921883657438e-05,0.0009741747220919264,0.0015993775250741644,0.0010230769354133238,0.0015697814539031218,0.9999999264057222,0.9999999691840664,,
Stage4_TotalPower,holdout,Physics,0.027065816386439293,0.03501081798967216,0.07077127678022073,0.07079760560414848,0.9998450342727785,0.022223656781501858,0.035695506061390894,0.028489864612125968,0.04317750674706632,0.0558119568479641,0.09249883095401168,0.05881408781223897,0.09134350446993568,0.9997514863953866,0.9998962159143299,,
Stage5_CarbonIntensity,holdout,XGBoost,11.245202799770592,14.015087365086174,3.0284836166019016,3.078633367606538,0.6865938998679084,8.3736073090321,16.98558523142749,10.43466427289626,19.28041792696389,2.374515444961994,4.530494665660409,2.4489862243471827,4.738364483631845,0.4079559266997687,0.7995509648499648,False,-0.16603783432135508
Stage6_Emissions,holdout,PhysicsFromPredictions,429.2708510439553,533.9224543426959,3.0544232768581576,3.1059868224170057,0.912592375893396,307.4809370370016,658.342918565304,374.94719726647844,738.7175140244912,2.389385168701065,4.573384810098047,2.469821971482718,4.78185951093594,0.8278744314832415,0.9461026297038347,False,-0.224429251795449
