date,coal_pct,coal_pct_lower,coal_pct_upper
2025-09-01,0.316526911066533,0.0,4.456117711308471
2025-10-01,0.0,0.0,3.98843641775624
2025-11-01,0.7097845025747691,0.0,4.8671091825551365
2025-12-01,2.0223837756398395,0.0,6.008648557488772
2026-01-01,2.2969997371906214,0.0,6.332373022397908
2026-02-01,0.5702924565066164,0.0,5.080115570656477
2026-03-01,0.0,0.0,4.477063215792043
2026-04-01,0.0,0.0,3.7766086246138935
2026-05-01,0.0,0.0,4.143573348277152
2026-06-01,0.0,0.0,4.909760643640843
2026-07-01,2.2954609372828187,0.0,6.843188082420015
2026-08-01,1.1104910954521323,0.0,6.026318569956076
2026-09-01,0.0,0.0,4.10356047250642
2026-10-01,0.0,0.0,3.868432505174472
2026-11-01,0.0,0.0,4.654816464757633
2026-12-01,0.2049737611559188,0.0,5.733257855266575
2027-01-01,0.47721551841495935,0.0,6.029281463843099
2027-02-01,0.0,0.0,4.830652997769317
2027-03-01,0.0,0.0,4.248646113923573
2027-04-01,0.0,0.0,3.570789295267618
2027-05-01,0.0,0.0,3.9057609778225206
2027-06-01,0.0,0.0,4.629331019366072
2027-07-01,0.483977199961062,0.0,6.43954203702008
2027-08-01,0.0,0.0,5.654718936073136
2027-09-01,0.0,0.0,3.826898715354326
2027-10-01,0.0,0.0,3.601078652652593
2027-11-01,0.0,0.0,4.334874671857376
2027-12-01,0.0,0.0,5.347284604300233
2028-01-01,0.0,0.0,5.62120659257301
2028-02-01,0.0,0.0,4.483088075929443
2028-03-01,0.0,0.0,3.932193139267553
2028-04-01,0.0,0.0,3.2873468081944255
2028-05-01,0.0,0.0,3.597665214142277
2028-06-01,0.0,0.0,4.27408810666832
2028-07-01,0.0,0.0,5.975570691605569
2028-08-01,0.0,0.0,5.23006616224756
2028-09-01,0.0,0.0,3.4995633605162437
2028-10-01,0.0,0.0,3.287906553548218
2028-11-01,0.0,0.0,3.973558344738129
2028-12-01,0.0,0.0,4.925172906170468
2029-01-01,0.0,0.0,5.1804761709194045
2029-02-01,0.0,0.0,4.104777270754114
2029-03-01,0.0,0.0,3.586612557250521
2029-04-01,0.0,0.0,2.9770326589657983
2029-05-01,0.0,0.0,3.2661708767949555
2029-06-01,0.0,0.0,3.8998700839314413
2029-07-01,0.0,0.0,5.498252057940691
2029-08-01,0.0,0.0,4.793364203988074
2029-09-01,0.0,0.0,3.1593046890964787
2029-10-01,0.0,0.0,2.9629413193888765
2029-11-01,0.0,0.0,3.604199082939133
2029-12-01,0.0,0.0,4.498914763637458
2030-01-01,0.0,0.0,4.737760894979011
2030-02-01,0.0,0.0,3.7236900740696117
2030-03-01,0.0,0.0,3.2383224965463704
2030-04-01,0.0,0.0,2.6639126481801823
2030-05-01,0.0,0.0,2.9341097425666556
2030-06-01,0.0,0.0,3.528230040667905
2030-07-01,0.0,0.0,5.029542200640163
2030-08-01,0.0,0.0,4.3646835561358035
2030-09-01,0.0,0.0,2.824385115895174
2030-10-01,0.0,0.0,2.6431778413037947
2030-11-01,0.0,0.0,3.243273485912372
2030-12-01,0.0,0.0,4.084609166530142
2031-01-01,0.0,0.0,4.308588782625865
2031-02-01,0.0,0.0,3.3541199090874425
2031-03-01,0.0,0.0,2.9004456169994315
2031-04-01,0.0,0.0,2.36021933274184
2031-05-01,0.0,0.0,2.6132286866316923
2031-06-01,0.0,0.0,3.170603421948891
2031-07-01,0.0,0.0,4.580717159239986
2031-08-01,0.0,0.0,3.954586773885762
2031-09-01,0.0,0.0,2.5041316294673766
2031-10-01,0.0,0.0,2.337365112448211
2031-11-01,0.0,0.0,2.8992878671292903
2031-12-01,0.0,0.0,3.6905758825969657
2032-01-01,0.0,0.0,3.9009750320841827
2032-02-01,0.0,0.0,3.0034011258877373
2032-03-01,0.0,0.0,2.5797983458665725
2032-04-01,0.0,0.0,2.0722632299670547
2032-05-01,0.0,0.0,2.309545652438883
2032-06-01,0.0,0.0,2.8545879680896027
2032-07-01,0.0,0.0,4.2279413045763485
2032-08-01,0.0,0.0,3.6520756474855247
2032-09-01,0.0,0.0,2.2635578039489714
2032-10-01,0.0,0.0,2.049890519167481
2032-11-01,0.0,0.0,2.595188535924564
2032-12-01,0.0,0.0,3.368847844747281
2033-01-01,0.0,0.0,3.570009068713045
2033-02-01,0.0,0.0,2.720250739062203
2033-03-01,0.0,0.0,2.3445295320064203
2033-04-01,0.0,0.0,1.8030802579085692
2033-05-01,0.0,0.0,2.0273107228495717
2033-06-01,0.0,0.0,2.6083845002958106
2033-07-01,0.0,0.0,3.9327637402058233
2033-08-01,0.0,0.0,3.3742726044873628
2033-09-01,0.0,0.0,2.0306476256815187
2033-10-01,0.0,0.0,1.800906686180432
2033-11-01,0.0,0.0,2.356996854597946
2033-12-01,0.0,0.0,3.103276479511746
2034-01-01,0.0,0.0,3.297762023148728
2034-02-01,0.0,0.0,2.476441403160179
2034-03-01,0.0,0.0,2.11316439276366
2034-04-01,0.0,0.0,1.5735006428938307
2034-05-01,0.0,0.0,1.8130776477987145
2034-06-01,0.0,0.0,2.366321603274316
2034-07-01,0.0,0.0,3.6416091491844496
2034-08-01,0.0,0.0,3.101083238917467
2034-09-01,0.0,0.0,1.8033403641607253
2034-10-01,0.0,0.0,1.5934135803387368
2034-11-01,0.0,0.0,2.124064079988656
2034-12-01,0.0,0.0,2.8429710288789023
2035-01-01,0.0,0.0,3.030837372993055
2035-02-01,0.0,0.0,2.238407810815947
2035-03-01,0.0,0.0,1.8878738239291835
2035-04-01,0.0,0.0,1.376396111830172
2035-05-01,0.0,0.0,1.6046744954191803
2035-06-01,0.0,0.0,2.130865427098107
2035-07-01,0.0,0.0,3.3572432533622387
2035-08-01,0.0,0.0,2.8350788191041016
2035-09-01,0.0,0.0,1.5837742086439015
2035-10-01,0.0,0.0,1.3925821985623608
2035-11-01,0.0,0.0,1.898459275233564
2035-12-01,0.0,0.0,2.590137479284894
2036-01-01,0.0,0.0,2.7714442785056637
2036-02-01,0.0,0.0,2.0081158620967323
2036-03-01,0.0,0.0,1.670488772226641
2036-04-01,0.0,0.0,1.1863625465179641
2036-05-01,0.0,0.0,1.4037417239157846
2036-06-01,0.0,0.0,1.903767987773925
2036-07-01,0.0,0.0,3.0816629332962107
2036-08-01,0.0,0.0,2.578096568797681
2036-09-01,0.0,0.0,1.3734362749087277
2036-10-01,0.0,0.0,1.1997879479420428
2036-11-01,0.0,0.0,1.6816456034848275
2036-12-01,0.0,0.0,2.3463530674231037
2037-01-01,0.0,0.0,2.5211668203867066
2037-02-01,0.0,0.0,1.7869536843085676
2037-03-01,0.0,0.0,1.4622907009571113
2037-04-01,0.0,0.0,1.0045382291943765
2037-05-01,0.0,0.0,1.21143317331136
2037-06-01,0.0,0.0,1.6862548685540786
2037-07-01,0.0,0.0,2.8162898264158454
2037-08-01,0.0,0.0,2.3314268553252435
2037-09-01,0.0,0.0,1.1733342343473245
2037-10-01,0.0,0.0,1.015986190595264
2037-11-01,0.0,0.0,1.4746357051654206
2037-12-01,0.0,0.0,2.1127231643641204
2038-01-01,0.0,0.0,2.2811185211878633
2038-02-01,0.0,0.0,1.5758775131315164
2038-03-01,0.0,0.0,1.2641514099740578
2038-04-01,0.0,0.0,0.8317065887776562
2038-05-01,0.0,0.0,1.0285391281641723
2038-06-01,0.0,0.0,1.479156607591225
2038-07-01,0.0,0.0,2.5621082714450116
2038-08-01,0.0,0.0,2.0959463130976355
2038-09-01,0.0,0.0,0.9841174843036543
2038-10-01,0.0,0.0,0.842604116277278
2038-11-01,0.0,0.0,1.278102325261272
2038-12-01,0.0,0.0,1.889994248179354
