date,gas_pct,gas_pct_lower,gas_pct_upper
2025-09-01,61.49967358835716,64.14579469383186,57.30657730987614
2025-10-01,51.43250725738145,51.48220780041831,49.348745356218025
2025-11-01,56.65817099091633,58.466784065848074,53.40194064561133
2025-12-01,57.58197878563932,60.65216889672689,54.08799659091411
2026-01-01,57.425998046238114,60.68372019221855,53.90525836951423
2026-02-01,57.65126728504051,59.64196250350001,54.025201747953325
2026-03-01,58.475782422931054,60.227004686885344,54.78181782187808
2026-04-01,49.15869011494575,48.28678950702647,47.840793451808736
2026-05-01,52.259085523971585,52.216234662899005,50.11977297613156
2026-06-01,59.28268385482923,61.29526450619358,55.17290448535081
2026-07-01,60.980602286591946,65.49585400058577,56.38184073327709
2026-08-01,62.01878610218991,65.87947439508255,57.11807427758517
2026-09-01,62.038830027782424,65.24115888823671,57.653325494443585
2026-10-01,51.95589097847583,51.74145408545263,50.06930763066661
2026-11-01,57.538372037076236,59.29049620853846,53.884096582994424
2026-12-01,59.11378663417287,61.69531454621941,54.508714861304775
2027-01-01,58.961569525916566,61.78810623075395,54.32038384673146
2027-02-01,58.462312939549655,60.70547696659803,54.432694015356454
2027-03-01,58.866023139950094,61.23118252564398,55.08018867891682
2027-04-01,49.65002672547114,48.487610648935224,48.511954248421006
2027-05-01,52.70623079380019,52.704188506819804,50.64874798295439
2027-06-01,59.728925807387824,62.59820831484346,55.4611281384546
2027-07-01,62.450597153237396,67.10182469759853,56.53891171031351
2027-08-01,63.07282970600207,67.578247961887,57.241722270009355
2027-09-01,62.376125912718074,66.89292396451931,57.71817831233332
2027-10-01,52.39114040100592,52.34384893652132,50.52832736784191
2027-11-01,57.92331854738413,60.57788323310596,54.122325330687715
2027-12-01,59.59963599025632,63.256278904137545,54.6927819359267
2028-01-01,59.6058452231974,63.42331631920979,54.49556233301118
2028-02-01,58.81948060193033,62.25012399161465,54.58359512529128
2028-03-01,59.21562000402027,62.82490540615064,55.18379275085717
2028-04-01,50.085748921706184,48.98140499546925,48.96324948658
2028-05-01,53.10388756251469,53.59652921983843,50.96418094754902
2028-06-01,60.03977143446878,64.43913447596292,55.48405393764053
2028-07-01,63.04129871018856,69.52633463760105,56.48969373631812
2028-08-01,63.34189596117176,70.06052988900305,57.13180460114287
2028-09-01,62.64526487317269,69.28523689849224,57.5862772456348
2028-10-01,52.76470815192164,53.31375251837679,50.791712723555364
2028-11-01,58.23075596367428,62.43568060487926,54.16731744344547
2028-12-01,59.88341357768431,65.47371838741662,54.690980951025345
2029-01-01,59.88407863379778,65.73012443656859,54.48976817693602
2029-02-01,59.09697305868532,64.42013788115712,54.56013263047845
2029-03-01,59.47348055227558,65.00722650490886,55.11217785986011
2029-04-01,50.44647227365026,49.720752587384965,49.23858555136377
2029-05-01,53.42390865323199,54.85520421494828,51.11227254881384
2029-06-01,60.270050527374494,66.95658167903375,55.35677918579365
2029-07-01,63.229496670590294,72.81382706736649,56.28913502839362
2029-08-01,63.51757937170572,73.42062096424236,56.8800948337422
