date,renewable_pct
2024-01-01,9.18067625030409
2024-02-01,9.185348193368641
2024-03-01,9.191461387490518
2024-04-01,9.198548706039416
2024-05-01,9.206828207370087
2024-06-01,9.215855335527664
2024-07-01,9.2255488301346
2024-08-01,9.236184714321466
2024-09-01,9.247631510197658
2024-10-01,9.259373343269463
2024-11-01,9.272210520078843
2024-12-01,9.285622963282497
2025-01-01,9.299091867235793
2025-02-01,9.311861552827148
2025-03-01,9.324606825886416
2025-04-01,9.337123436395594
2025-05-01,9.349619843904083
2025-06-01,9.361920839138477
2025-07-01,9.374101330804226
2025-08-01,9.386243193028683
2025-09-01,9.3982695191453
2025-10-01,9.410084700316894
2025-11-01,9.421868191538469
2025-12-01,9.43366239189627
2026-01-01,9.445754900066168
2026-02-01,9.460908958560541
2026-03-01,9.476310073786395
2026-04-01,9.491672348114786
2026-05-01,9.507228757958694
2026-06-01,9.522716694732273
2026-07-01,9.538166833742219
2026-08-01,9.553755475068476
2026-09-01,9.569399976019008
2026-10-01,9.584851886852865
2026-11-01,9.600551815563868
2026-12-01,9.616330166269066
2027-01-01,9.632142064735177
2027-02-01,9.64734089550159
2027-03-01,9.662522563253507
2027-04-01,9.677444712919652
2027-05-01,9.692339203469185
2027-06-01,9.706987884186143
2027-07-01,9.721447125869545
2027-08-01,9.73586245408267
2027-09-01,9.750160797369341
2027-10-01,9.764162185196922
2027-11-01,9.778207345661997
2027-12-01,9.792217533588339
2028-01-01,9.806307936693942
2028-02-01,9.822757132978387
2028-03-01,9.839249540745774
2028-04-01,9.85553056250851
2028-05-01,9.871835272923402
2028-06-01,9.887932246545306
2028-07-01,9.903870621027332
2028-08-01,9.919810597654468
2028-09-01,9.935678411568311
2028-10-01,9.951270152814757
2028-11-01,9.966967353433864
2028-12-01,9.982657637616235
2029-01-01,9.998374424680986
2029-02-01,10.014053736414184
2029-03-01,10.029714009775883
2029-04-01,10.045108727119567
2029-05-01,10.06047268138105
2029-06-01,10.07558257934649
2029-07-01,10.090491965426214
2029-08-01,10.105356083173374
2029-09-01,10.120103252949916
2029-10-01,10.1345414342705
2029-11-01,10.149035431722675
2029-12-01,10.16348797412972
2030-01-01,10.17798405637463
2030-02-01,10.194298717789591
2030-03-01,10.210618776196096
2030-04-01,10.226696505901755
2030-05-01,10.242766436244256
2030-06-01,10.258603782319653
2030-07-01,10.274260691548953
2030-08-01,10.28989420856659
2030-09-01,10.305432672361366
2030-10-01,10.320680669288132
2030-11-01,10.336008377692886
2030-12-01,10.351313345146407
2031-01-01,10.366645264823454
2031-02-01,10.38237207039853
2031-03-01,10.398080497837684
2031-04-01,10.413525125952443
2031-05-01,10.427951057007158
2031-06-01,10.441193077228302
2031-07-01,10.454084973360871
2031-08-01,10.46678578174439
2031-09-01,10.479227615157
2031-10-01,10.491220899444569
2031-11-01,10.503134826641276
2031-12-01,10.514872733423811
2032-01-01,10.526476013023242
2032-02-01,10.540842778627093
2032-03-01,10.555013989600043
2032-04-01,10.568748954542698
2032-05-01,10.582284220144311
2032-06-01,10.595401744514673
2032-07-01,10.60815757452399
2032-08-01,10.620710636910665
2032-09-01,10.632993843426126
2032-10-01,10.644818522189876
2032-11-01,10.656553149392476
2032-12-01,10.668101148303363
2033-01-01,10.679518846824323
2033-02-01,10.69374207535288
2033-03-01,10.707774032686968
2033-04-01,10.721375651747673
2033-05-01,10.734782093488278
2033-06-01,10.747776778754286
2033-07-01,10.760415512980977
2033-08-01,10.772856136801904
2033-09-01,10.78503196094622
2033-10-01,10.79675565596996
2033-11-01,10.808393078429154
2033-12-01,10.819848532405532
2034-01-01,10.83116770134711
2034-02-01,10.845295328195212
2034-03-01,10.859223938314681
2034-04-01,10.872716159990697
2034-05-01,10.88600611627776
2034-06-01,10.898878748871288
2034-07-01,10.911389798275197
2034-08-01,10.923696517423082
2034-09-01,10.935732866701828
2034-10-01,10.947312765159168
2034-11-01,10.958800333431007
2034-12-01,10.970100527180255
2035-01-01,10.981265841912018
2035-02-01,10.995265994454673
2035-03-01,11.009067890733263
2035-04-01,11.022435700093958
2035-05-01,11.035602280602848
2035-06-01,11.048353952924616
2035-07-01,11.060746226058917
2035-08-01,11.072935480641423
2035-09-01,11.084856126922007
2035-10-01,11.096323262958329
2035-11-01,11.107698859171514
2035-12-01,11.118888519631415
2036-01-01,11.129939772554643
2036-02-01,11.14383678870623
2036-03-01,11.157530673927209
2036-04-01,11.17078722917185
2036-05-01,11.183838206587573
2036-06-01,11.196471392796937
2036-07-01,11.208742184844239
2036-08-01,11.220806266161315
2036-09-01,11.232598618620969
2036-10-01,11.243935578428497
2036-11-01,11.255177208820701
2036-12-01,11.266229801498275
2037-01-01,11.277143801238589
2037-02-01,11.290923618001546
2037-03-01,11.304499264565516
2037-04-01,11.31763807116925
2037-05-01,11.330570594628087
2037-06-01,11.343085990951598
2037-07-01,11.355239459175024
2037-08-01,11.367185886934754
2037-09-01,11.37886073301643
2037-10-01,11.390081492873623
2037-11-01,11.40120621766208
2037-12-01,11.41214182566622
2038-01-01,11.422936429760766
2038-02-01,11.436610274765753
2038-03-01,11.450076398220986
2038-04-01,11.46310370065136
2038-05-01,11.475921620272276
2038-06-01,11.48832072308043
2038-07-01,11.500356070004674
2038-08-01,11.512181826604438
2038-09-01,11.52373398112359
2038-10-01,11.534831223894006
2038-11-01,11.54582968771944
2038-12-01,11.556636953413378
