date,carbon_intensity
2025-09-01,0.5729411037794236
2025-10-01,0.4759201702842687
2025-11-01,0.5380547289542171
2025-12-01,0.5753469895091695
2026-01-01,0.5800496837814085
2026-02-01,0.5439668617642008
2026-03-01,0.5392137237303974
2026-04-01,0.4559612251724685
2026-05-01,0.4838733806571344
2026-06-01,0.5465033493453593
2026-07-01,0.6124162618458753
2026-08-01,0.5954074459294486
2026-09-01,0.570798587605906
2026-10-01,0.48065581341659125
2026-11-01,0.5302879375514855
2026-12-01,0.5488821520054228
2027-01-01,0.5535715144171813
2027-02-01,0.5386746033160819
2027-03-01,0.542800897713942
2027-04-01,0.460438808315399
2027-05-01,0.48794984143368075
2027-06-01,0.5505727572465622
2027-07-01,0.5855593816963464
2027-08-01,0.5803418537895951
2027-09-01,0.573912834299416
2027-10-01,0.4846443292105529
2027-11-01,0.5338311266346581
2027-12-01,0.5487920084541105
2028-01-01,0.5488714371769761
2028-02-01,0.5419726867269644
2028-03-01,0.5460217491064651
2028-04-01,0.4644308194786349
2028-05-01,0.49160188364663376
2028-06-01,0.553454177386271
2028-07-01,0.5802327226447525
2028-08-01,0.5828548007480717
2028-09-01,0.5764284023383409
2028-10-01,0.48809268863429733
2028-11-01,0.536695622910331
2028-12-01,0.5514482188170465
2029-01-01,0.5514800742228226
2029-02-01,0.5445728152706553
2029-03-01,0.5484392214054327
2029-04-01,0.46776735627057114
2029-05-01,0.4945743610832365
2029-06-01,0.5556290796181936
2029-07-01,0.5820371528914633
2029-08-01,0.5845485902006462
2029-09-01,0.5781156524333483
2029-10-01,0.4908251867107285
2029-11-01,0.538780555062285
2029-12-01,0.553292844446582
2030-01-01,0.5532684301770612
2030-02-01,0.5463644952223002
2030-03-01,0.5500749328956207
2030-04-01,0.4704058931295209
2030-05-01,0.4968069237926809
2030-06-01,0.5569736693354936
2030-07-01,0.5829662573661931
2030-08-01,0.5853591358664659
2030-09-01,0.5789357328855337
2030-10-01,0.49280147171648914
2030-11-01,0.5400300997331129
2030-12-01,0.5542690730013708
2031-01-01,0.5541771666745297
2031-02-01,0.5472921875741942
2031-03-01,0.550855136345901
2031-04-01,0.47228825798892815
2031-05-01,0.4982419822405211
2031-06-01,0.5574339881393227
2031-07-01,0.5829472114000471
2031-08-01,0.5852215676137634
2031-09-01,0.5788211237831912
2031-10-01,0.49396097373546133
2031-11-01,0.5403818915499875
2031-12-01,0.5543133789871926
2032-01-01,0.5541430157013107
2032-02-01,0.5472930216390353
2032-03-01,0.5507200098871474
2032-04-01,0.4733581994893936
2032-05-01,0.4988212556084423
2032-06-01,0.556947022858739
2032-07-01,0.5819175232688847
2032-08-01,0.5840724507669973
2032-09-01,0.5777095698301906
2032-10-01,0.49424652916138606
2032-11-01,0.539775703819732
2032-12-01,0.5533647906268705
2033-01-01,0.5531050895641288
2033-02-01,0.5463068810996964
2033-03-01,0.5496093488062109
2033-04-01,0.4735601847381143
2033-05-01,0.49848794775188515
2033-06-01,0.5554531846926124
2033-07-01,0.5798161847354573
2033-08-01,0.5818511320166874
2033-09-01,0.5755409604361044
2033-10-01,0.493602469389607
2033-11-01,0.5381538455087114
2033-12-01,0.5513652966981955
2034-01-01,0.5510057448737673
2034-02-01,0.544276701254132
2034-03-01,0.5474662597257404
2034-04-01,0.47284103790841076
2034-05-01,0.4971880102746782
2034-06-01,0.5528963395387089
2034-07-01,0.5765868610394762
2034-08-01,0.5785015023125207
2034-09-01,0.5722596867896843
2034-10-01,0.4919765461667733
2034-11-01,0.5354629625800272
2034-12-01,0.5482617379917784
2035-01-01,0.5477924458117153
2035-02-01,0.5411503739610299
2035-03-01,0.5442385552830278
2035-04-01,0.4711513972879237
2035-05-01,0.4948717590619935
2035-06-01,0.5492258119987958
2035-07-01,0.572179614306374
2035-08-01,0.5739739225426194
2035-09-01,0.5678164513593169
2035-10-01,0.4893215266779225
2035-11-01,0.5316558508507432
2035-12-01,0.5440076938509352
2036-01-01,0.5434196846039765
2036-02-01,0.5368826242480601
2036-03-01,0.5398806715360039
2036-04-01,0.4684473891699461
2036-05-01,0.49149563017108133
2036-06-01,0.5443982991061691
2036-07-01,0.5665530029663878
2036-08-01,0.5682272959505116
2036-09-01,0.5621703236580058
2036-10-01,0.4855970043311724
2036-11-01,0.5266934250532231
2036-12-01,0.5385655156603049
2037-01-01,0.5378510308810543
2037-02-01,0.5314370294725312
2037-03-01,0.534355657248235
2037-04-01,0.4646924163928423
2037-05-01,0.4870240528174479
2037-06-01,0.5383799185615099
2037-07-01,0.559676223885624
2037-08-01,0.5612312132922151
2037-09-01,0.5552908569141122
2037-10-01,0.4807712879079276
2037-11-01,0.5205467502844126
2037-12-01,0.5319084055790455
2038-01-01,0.5310612158658921
2038-02-01,0.5247880754391694
2038-03-01,0.5276372193323576
2038-04-01,0.45985900866380347
2038-05-01,0.48143136838418527
2038-06-01,0.531148272483381
2038-07-01,0.5515312433343929
2038-08-01,0.5529680803655392
2038-09-01,0.5471601928341405
2038-10-01,0.47482330556963165
2038-11-01,0.5131990522384976
2038-12-01,0.5240224508835906
