date,electricity_gwh,dc_energy_baseline_gwh,dc_energy_ai_gwh,dc_energy_adjusted_gwh,ai_multiplier,coal_pct,gas_pct,nuclear_pct,renewable_pct,renewable_share,intensity_factor,carbon_intensity,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons,grid_stress_pct,stress_penalty_pts,grid_stress_adjusted_pct
2024-01-01,29229.184429160385,7307.296107290096,7307.296107290096,7320.713291255324,1.0,2.3318426411840125,73.02147217144653,15.466008937065377,9.18067625030409,0.0918067625030409,1.0018361352500609,0.7207962914273647,190338.87829321367,2432290.1415200545,5661.110859412406,10081.364797246986,2638371.495469928,25.04590338125152,0.0,25.04590338125152
2024-02-01,29193.96795264161,7298.491988160403,7566.150529856728,7580.050075276764,1.0366731294807914,2.2960954585933906,73.02843840810746,15.4901179399305,9.18534819336864,0.09185348193368639,1.0018370696386738,0.7200663344924142,194060.38187435115,2518694.4512398737,5870.793482830807,10443.809889688087,2729069.436486744,25.96443925530474,0.0,25.96443925530474
2024-03-01,29158.69916398942,7289.674790997355,7815.558422178441,7829.925702870268,1.0721408905415843,2.257621476747542,73.03778825797896,15.513128877782966,9.191461387490518,0.09191461387490518,1.0018382922774982,0.7192975833831043,197098.64397373324,2602056.0728068533,6073.332326604593,10795.268964727742,2816023.318071919,26.85279497152642,0.0,26.85279497152642
2024-04-01,29125.69118929436,7281.42279732359,8055.774910253845,8070.595197829217,1.106346264251388,2.216490502904042,73.04974304806599,15.53521774299054,9.198548706039416,0.09198548706039417,1.001839709741208,0.7184934863382715,199455.6333378014,2682474.8197810273,6268.922685690535,11135.66445209398,2899335.0402566134,27.709540506272003,0.0,27.709540506272003
2024-05-01,29091.22901624301,7272.807254060753,8285.445691425624,8300.702226446114,1.1392362538962473,2.172754373008479,73.06398516514425,15.556432254477196,9.206828207370087,0.09206828207370087,1.001841365641474,0.7176523792085606,201094.56573630494,2759494.848716691,6456.46559251485,11463.470909913562,2978509.3509554244,28.533350109792334,0.0,28.533350109792334
2024-06-01,29058.404096588,7264.601024147,8505.18634147244,8520.862854857383,1.1707712940052488,2.1264801118148235,73.080740939852,15.576923612805526,9.215855335527664,0.09215855335527663,1.0018431710671056,0.7167776980080627,202031.81616936837,2833334.9175032736,6636.441490265274,11779.055910635534,3053782.231073543,29.323230644513927,0.0,29.323230644513927
2024-07-01,29027.16100074545,7256.790250186363,8714.864208875348,8730.944089936742,1.2009254654496235,2.0777247187436374,73.09995421534234,15.596772235779415,9.2255488301346,0.09225548830134599,1.0018451097660268,0.7158701864602166,202266.5566429772,2903953.840201458,6808.727318703388,12082.162655232974,3125111.286818371,30.078532618854876,0.0,30.078532618854876
2024-08-01,28995.126018312265,7248.781504578066,8913.72171986848,8930.187475927833,1.2296855291111888,2.0265361860755218,73.12128969352786,15.615989406075157,9.236184714321466,0.09236184714321466,1.0018472369428644,0.7149279475154915,201785.43096272886,2971090.0557739916,6972.685650917703,12372.129159178443,3192220.3015468167,30.79892624121672,0.0,30.79892624121672
2024-09-01,28963.537580689142,7240.884395172286,9102.15191967258,9118.986589053175,1.257049750130144,1.972971142194503,73.14474779997106,15.63464954763677,9.247631510197658,0.09247631510197658,1.0018495263020395,0.713952215858497,200605.1958568057,3034877.182826638,7128.607977472299,12649.354158299699,3255260.340819216,31.48436741764955,0.0,31.48436741764955
2024-10-01,28932.60890677172,7233.15222669293,9280.327147669492,9297.513150431083,1.2830266606890632,1.917093176846283,73.17064595647084,15.652887523413405,9.259373343269464,0.09259373343269464,1.001851874668654,0.7129471568028789,198739.8190989797,3095387.945676502,7276.646379557738,12913.371813569831,3314317.782968609,32.13506663153003,0.0,32.13506663153003
