date,ai_multiplier
2024-01-01,1.0
2024-02-01,1.0366731294807914
2024-03-01,1.0721408905415843
2024-04-01,1.106346264251388
2024-05-01,1.1392362538962473
2024-06-01,1.1707712940052488
2024-07-01,1.2009254654496235
2024-08-01,1.2296855291111888
2024-09-01,1.257049750130144
2024-10-01,1.2830266606890632
2024-11-01,1.3076338090928694
2024-12-01,1.3308965264212544
2025-01-01,1.3528467352105296
2025-02-01,1.373521819115538
2025-03-01,1.3929635675026955
2025-04-01,1.4112172044436089
2025-05-01,1.4283305076744293
2025-06-01,1.4443530197862922
2025-07-01,1.4593353512108729
2025-08-01,1.473328572430789
2025-09-01,1.486383691228449
2025-10-01,1.4985512096296325
2025-11-01,1.509880754435453
2025-12-01,1.5204207748038132
2026-01-01,1.530218300177244
2026-02-01,1.5393187519011657
2026-03-01,1.5477658020844587
2026-04-01,1.5556012735787537
2026-05-01,1.5628650753569864
2026-06-01,1.5695951680249216
2026-07-01,1.5759898930296714
2026-08-01,1.5824106709356531
2026-09-01,1.588857607885611
2026-10-01,1.5953308104547286
2026-11-01,1.601830385652389
2026-12-01,1.608356440923946
2027-01-01,1.6149090841524982
2027-02-01,1.6214884236606737
2027-03-01,1.6280945682124202
2027-04-01,1.634727627014803
2027-05-01,1.641387709719811
2027-06-01,1.6480749264261687
2027-07-01,1.654789387681156
2027-08-01,1.6615312044824366
2027-09-01,1.6683004882798924
2027-10-01,1.6750973509774658
2027-11-01,1.6819219049350094
2027-12-01,1.6887742629701443
2028-01-01,1.695654538360124
2028-02-01,1.7025628448437085
2028-03-01,1.7094992966230422
2028-04-01,1.7164640083655442
2028-05-01,1.7234570952058028
2028-06-01,1.7304786727474781
2028-07-01,1.737528857065215
2028-08-01,1.7446077647065596
2028-09-01,1.7517155126938884
2028-10-01,1.7588522185263402
2028-11-01,1.7660180001817611
2028-12-01,1.7732129761186528
2029-01-01,1.7804372652781315
2029-02-01,1.787690987085895
2029-03-01,1.7949742614541955
2029-04-01,1.8022872087838226
2029-05-01,1.809629949966094
2029-06-01,1.8170026063848532
2029-07-01,1.8244052999184768
2029-08-01,1.8318381529418886
2029-09-01,1.8393012883285837
2029-10-01,1.8467948294526582
2029-11-01,1.8543189001908502
2029-12-01,1.8618736249245864
2030-01-01,1.8694591285420394
2030-02-01,1.877075536440191
2030-03-01,1.8847229745269065
2030-04-01,1.892401569223015
2030-05-01,1.9001114474643999
2030-06-01,1.907852736704097
2030-07-01,1.9156255649144016
2030-08-01,1.923430060588984
2030-09-01,1.9312663527450138
2030-10-01,1.939134570925292
2030-11-01,1.9470348452003936
2030-12-01,1.9549673061708168
2031-01-01,1.9629320849691423
2031-02-01,1.9709293132622014
2031-03-01,1.9789591232532524
2031-04-01,1.9870216476841664
2031-05-01,1.9951170198376205
2031-06-01,2.0032453735393028
2031-07-01,2.0114068431601226
2031-08-01,2.0196015636184343
2031-09-01,2.0278296703822654
2031-10-01,2.0360912994715576
2031-11-01,2.0443865874604144
2031-12-01,2.052715671479359
2032-01-01,2.0610786892176005
2032-02-01,2.0694757789253124
2032-03-01,2.0779070794159162
2032-04-01,2.086372730068376
2032-05-01,2.094872870829503
2032-06-01,2.1034076422162693
2032-07-01,2.11197718531813
2032-08-01,2.1205816417993577
2032-09-01,2.1292211539013803
2032-10-01,2.137895864445137
2032-11-01,2.146605916833437
2032-12-01,2.1553514550533284
2033-01-01,2.164132623678482
2033-02-01,2.17294956787158
2033-03-01,2.181802433386714
2033-04-01,2.190691366571796
2033-05-01,2.19961651437098
2033-06-01,2.2085780243270845
2033-07-01,2.2175760445840385
2033-08-01,2.226610723889327
2033-09-01,2.235682211596451
2033-10-01,2.2447906576673957
2033-11-01,2.2539362126751104
2033-12-01,2.2631190278059963
2034-01-01,2.272339254862408
2034-02-01,2.2815970462651607
2034-03-01,2.2908925550560517
2034-04-01,2.3002259349003884
2034-05-01,2.309597340089531
2034-06-01,2.319006925543441
2034-07-01,2.3284548468132424
2034-08-01,2.3379412600837957
2034-09-01,2.3474663221762757
2034-10-01,2.3570301905507676
2034-11-01,2.3666330233088675
2034-12-01,2.376274979196298
2035-01-01,2.3859562176055302
2035-02-01,2.3956768985784205
2035-03-01,2.4054371828088557
2035-04-01,2.4152372316454094
2035-05-01,2.4250772070940085
2035-06-01,2.4349572718206143
2035-07-01,2.444877589153906
2035-08-01,2.4548383230879867
2035-09-01,2.464839638285091
2035-10-01,2.4748817000783077
2035-11-01,2.4849646744743126
2035-12-01,2.4950887281561145
2036-01-01,2.505254028485808
2036-02-01,2.515460743507343
2036-03-01,2.5257090419493
2036-04-01,2.5359990932276815
2036-05-01,2.546331067448711
2036-06-01,2.556705135411647
2036-07-01,2.567121468611603
2036-08-01,2.577580239242388
2036-09-01,2.5880816201993473
2036-10-01,2.5986257850822247
2036-11-01,2.60921290819803
2036-12-01,2.619843164563922
2037-01-01,2.6305167299101004
2037-02-01,2.641233780682712
2037-03-01,2.651994494046767
2037-04-01,2.6627990478890675
2037-05-01,2.6736476208211486
2037-06-01,2.684540392182231
