month,avg_temp_f,min_temp_f,max_temp_f,precipitation,heating_degree_days,cooling_degree_days
March 1978,41.7,31.1,52.2,4.90,729,
February 1978,27.6,17.7,37.4,0.66,1053,
January 1978,27.8,18.9,36.8,6.94,1134,
December 1977,35.4,25.8,44.9,3.82,913,
November 1977,47.9,39.6,56.2,5.38,508,
October 1977,53.3,42.5,64.0,5.78,350,4
September 1977,69.3,58.8,79.8,3.03,21,169
August 1977,75.1,63.8,86.4,3.98,,334
July 1977,76.8,64.4,89.3,2.61,,387
June 1977,68.7,57.2,80.2,2.93,18,146
May 1977,65.1,52.2,77.9,2.58,75,87
April 1977,57.2,43.6,70.8,3.36,237,9
March 1977,49.7,37.5,61.8,3.17,476,7
February 1977,35.7,23.1,48.2,1.15,805,
January 1977,22.8,13.5,32.0,1.96,1305,
December 1976,33.1,22.0,44.2,2.75,986,
November 1976,39.5,28.0,51.0,1.59,752,
October 1976,51.0,40.7,61.3,8.70,422,2
September 1976,64.8,52.8,77.0,4.66,65,82
August 1976,71.2,59.0,83.4,2.29,5,214
