feature,importance
hour_sin,0.39433035254478455
ci_lag_1,0.15455780923366547
is_business_hour,0.07926121354103088
ci_ewm_12,0.06815986335277557
ci_lag_2,0.04478687420487404
ci_lag_24,0.029765989631414413
ci_roll_mean_24,0.02810986340045929
ci_roll_mean_12,0.025447269901633263
is_weekend,0.0191934946924448
ci_roll_mean_6,0.014657762832939625
ci_lag_6,0.01392038632184267
ci_lag_12,0.013444418087601662
hour_cos,0.012686176225543022
ci_roll_mean_3,0.011515140533447266
ci_roll_std_24,0.011493638157844543
ci_roll_std_3,0.010795322246849537
dow_sin,0.01076539233326912
demand_mwh_raw_lag_24,0.009149196557700634
ci_roll_std_12,0.008021952584385872
temperature_f_lag1_for_ci,0.007350915111601353
ci_roll_std_6,0.005857713054865599
demand_mwh_raw_roll_mean_6,0.005375457927584648
ci_lag_3,0.005281828809529543
ci_lag_48,0.004754900466650724
demand_mwh_raw_lag_3,0.004108271095901728
dow_cos,0.003672228194773197
demand_mwh_raw_lag_1,0.003536618547514081
