real_timestamp,hour_of_day,avg_cpu_utilization,num_tasks_sampled
2019-05-01 00:10:00+00:00,0,0.0061906687610329,647356
2019-05-01 00:10:01+00:00,0,0.0040914755073382,139
2019-05-01 00:10:02+00:00,0,0.0027110897309598,171
2019-05-01 00:10:03+00:00,0,0.0033396855749265,198
2019-05-01 00:10:04+00:00,0,0.0032673404164557,274
2019-05-01 00:10:05+00:00,0,0.0035588648892188,258
2019-05-01 00:10:06+00:00,0,0.0014176023633856,304
2019-05-01 00:10:07+00:00,0,0.0025484962463378,250
2019-05-01 00:10:08+00:00,0,0.0026209466597613,340
2019-05-01 00:10:09+00:00,0,0.002431235514896,355
2019-05-01 00:10:10+00:00,0,0.0040143807028883,227
2019-05-01 00:10:11+00:00,0,0.00263347838844,179
2019-05-01 00:10:12+00:00,0,0.0024159305779508,129
2019-05-01 00:10:13+00:00,0,0.0024869307032171,106
2019-05-01 00:10:14+00:00,0,0.0021750673334649,94
2019-05-01 00:10:15+00:00,0,0.0024913850721422,91
2019-05-01 00:10:16+00:00,0,0.003010679914065,191
2019-05-01 00:10:17+00:00,0,0.0029283615357098,187
2019-05-01 00:10:18+00:00,0,0.0042803587313897,167
2019-05-01 00:10:19+00:00,0,0.0032219000351734,312
2019-05-01 00:10:20+00:00,0,0.0078726526263763,563
2019-05-01 00:10:21+00:00,0,0.0090884057016706,371
2019-05-01 00:10:22+00:00,0,0.0054804143710125,439
2019-05-01 00:10:23+00:00,0,0.0065519082300308,921
2019-05-01 00:10:24+00:00,0,0.0059631423088116,531
2019-05-01 00:10:25+00:00,0,0.002827490656829,242
2019-05-01 00:10:26+00:00,0,0.0024028602221333,141
2019-05-01 00:10:27+00:00,0,0.0031302525446965,195
2019-05-01 00:10:28+00:00,0,0.0027214586734771,192
2019-05-01 00:10:29+00:00,0,0.0029067787335073,139
2019-05-01 00:10:30+00:00,0,0.0029591124827467,254
2019-05-01 00:10:31+00:00,0,0.0025655420068751,187
2019-05-01 00:10:32+00:00,0,0.0021553906527432,176
2019-05-01 00:10:33+00:00,0,0.0015252564340976,406
2019-05-01 00:10:34+00:00,0,0.0016098938166955,427
2019-05-01 00:10:35+00:00,0,0.0020652015518151,409
2019-05-01 00:10:36+00:00,0,0.0016799049174531,376
2019-05-01 00:10:37+00:00,0,0.0027577666198315,294
2019-05-01 00:10:38+00:00,0,0.0026022834437234,224
2019-05-01 00:10:39+00:00,0,0.0025069353057117,205
2019-05-01 00:10:40+00:00,0,0.0030207367417234,161
2019-05-01 00:10:41+00:00,0,0.0030762102002295,214
2019-05-01 00:10:42+00:00,0,0.0029979536268446,225
2019-05-01 00:10:43+00:00,0,0.0024433765771254,212
2019-05-01 00:10:44+00:00,0,0.0033005388771615,164
2019-05-01 00:10:45+00:00,0,0.0016370239257812,125
2019-05-01 00:10:46+00:00,0,0.0021784928467896,111
2019-05-01 00:10:47+00:00,0,0.0023431897163391,160
2019-05-01 00:10:48+00:00,0,0.0024517729827568,293
2019-05-01 00:10:49+00:00,0,0.0039434505049467,397
2019-05-01 00:10:50+00:00,0,0.0045392997420153,261
2019-05-01 00:10:51+00:00,0,0.0048917008526939,353
2019-05-01 00:10:52+00:00,0,0.0019721705193393,682
2019-05-01 00:10:53+00:00,0,0.0020789713070618,961
2019-05-01 00:10:54+00:00,0,0.0033593590979832,1281
2019-05-01 00:10:55+00:00,0,0.0039254451194664,541
