datetime_utc,respondent,demand_mwh
2019-01-08T08,PJM,80118.0
2019-01-08T09,PJM,80516.0
2019-01-08T10,PJM,81597.0
2019-01-08T11,PJM,85005.0
2019-01-08T12,PJM,92054.0
2019-01-08T13,PJM,96890.0
2019-01-08T14,PJM,96623.0
2019-01-08T15,PJM,95526.0
2019-01-08T16,PJM,94454.0
2019-01-08T17,PJM,93220.0
2019-01-08T18,PJM,91607.0
2019-01-08T19,PJM,90891.0
2019-01-08T20,PJM,89495.0
2019-01-08T21,PJM,89205.0
2019-01-08T22,PJM,91141.0
2019-01-08T23,PJM,96067.0
2019-01-09T00,PJM,98105.0
2019-01-09T01,PJM,97249.0
2019-01-09T02,PJM,95650.0
2019-01-09T03,PJM,92433.0
2019-01-09T04,PJM,87667.0
2019-01-09T05,PJM,84179.0
2019-01-09T06,PJM,82240.0
2019-01-09T07,PJM,81035.0
2019-01-09T08,PJM,80755.0
2019-01-09T09,PJM,81273.0
2019-01-09T10,PJM,82273.0
2019-01-09T11,PJM,86946.0
2019-01-09T12,PJM,95150.0
2019-01-09T13,PJM,100600.0
2019-01-09T14,PJM,100662.0
2019-01-09T15,PJM,99648.0
2019-01-09T16,PJM,99025.0
2019-01-09T17,PJM,99008.0
2019-01-09T18,PJM,99370.0
2019-01-09T19,PJM,99886.0
2019-01-09T20,PJM,100255.0
2019-01-09T21,PJM,101060.0
2019-01-09T22,PJM,103959.0
2019-01-09T23,PJM,109191.0
2019-01-10T00,PJM,111221.0
2019-01-10T01,PJM,110554.0
2019-01-10T02,PJM,109280.0
2019-01-10T03,PJM,106193.0
2019-01-10T04,PJM,101163.0
2019-01-10T05,PJM,97237.0
2019-01-10T06,PJM,96115.0
2019-01-10T07,PJM,94981.0
2019-01-10T08,PJM,94762.0
2019-01-10T09,PJM,95214.0
2019-01-10T10,PJM,97243.0
2019-01-10T11,PJM,100773.0
2019-01-10T12,PJM,108464.0
2019-01-10T13,PJM,113777.0
2019-01-10T14,PJM,113175.0
2019-01-10T15,PJM,111217.0
2019-01-10T16,PJM,110056.0
2019-01-10T17,PJM,108627.0
2019-01-10T18,PJM,107385.0
2019-01-10T19,PJM,106310.0
2019-01-10T20,PJM,105794.0
2019-01-10T21,PJM,105950.0
2019-01-10T22,PJM,108249.0
2019-01-10T23,PJM,114055.0
2019-01-11T00,PJM,116114.0
2019-01-11T01,PJM,115248.0
