sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
Industrial,3794.0,3673.0,3663.0,3687.0,3693.0,3723.0,3704.0,3692.0,3708.0,3714.0,3653.0,3585.0,3973.0,4082.0,5380.0,5284.0,5284.0,5175.0,5178.0,5197.0,5528.0,5616.0,5450.0,5366.0,5371.0,5284.0,5220.0,5003.0,5225.0,5151.0,5096.0,4893.0,4661.0,4380.0,4946.0,0.2,0.1,0.1,0.1
Other,,,,,,,,,,,,,,,,,,,,,,,45651.0,44818.0,43472.0,42443.0,41829.0,42228.0,40912.0,38575.0,37606.0,36488.0,35753.0,35994.0,35405.0,1.4,0.0,0.0,0.0
Transportation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Total,4104032.0,4061081.0,4024426.0,3997483.0,3948015.0,3902576.0,3866337.0,3824478.0,3797571.0,3764167.0,3730261.0,3699801.0,3671544.0,3643615.0,3684290.0,3601861.0,3578883.0,3544751.0,3493241.0,3428605.0,3362199.0,3301904.0,3247382.0,3183748.0,3122909.0,3062559.0,3002924.0,2954851.0,2903530.0,2849420.0,2795495.0,2747441.0,2701765.0,2640023.0,2622114.0,100.0,100.0,100.0,100.0
Average price to ultimate customers (cents/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,14.41,14.26,13.34,11.96,12.03,12.07,11.73,11.55,11.36,11.37,11.1,10.84,11.08,10.64,10.45,10.61,9.62,8.74,8.49,8.16,7.99,7.76,7.79,7.79,7.52,7.48,7.51,7.75,7.6,7.84,7.75,7.57,7.63,7.34,7.25,,,,
Commercial,8.72,8.95,9.66,7.79,7.63,8.18,8.32,8.01,7.93,8.21,8.15,8.0,8.08,7.95,7.65,8.06,7.32,6.38,6.21,6.05,5.88,5.74,5.87,5.85,5.65,5.55,5.61,5.97,5.91,6.07,5.84,6.14,6.23,6.05,6.06,,,,
Industrial,8.99,8.92,7.99,6.49,6.28,6.85,6.86,6.51,6.56,6.95,6.89,6.63,6.72,6.49,6.66,6.91,5.82,5.07,4.69,4.46,4.27,4.23,4.13,4.16,3.9,3.84,3.82,4.0,3.99,4.16,4.16,4.19,4.28,4.23,4.27,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,5.14,5.16,5.05,5.0,4.98,5.14,5.26,5.21,5.63,5.56,5.57,5.35,5.31,,,,
Transportation,9.25,10.42,10.85,8.49,8.77,8.27,8.28,8.11,7.76,8.11,8.24,8.17,8.51,8.24,7.7,8.42,7.8,6.73,6.81,6.81,6.25,5.46,,,,,,,,,,,,,,,,,
Total,10.62,10.68,10.75,9.14,9.16,9.52,9.48,9.18,9.09,9.31,9.17,8.96,9.07,8.84,8.69,8.93,8.0,7.12,6.86,6.64,6.43,6.27,6.23,6.18,5.94,5.86,5.88,6.14,6.09,6.26,6.2,6.23,6.28,6.09,6.03,,,,
"U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.
Many of the changes in the year-over-year industrial and commercial sector retail sales are the result of improvedreporting practices for data center and cryptocurrency mining",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
