nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
..Wind - Offshore,50260.0,46969.0,50852.0,49583.0,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Wood,1008578.0,1058112.0,1135812.0,1026352.0,802842.0,1012827.0,1204218.0,1176283.0,1254766.0,1198607,1128627,669861,341173,405112,422794,440576,506781,459154,482711,540332,50690,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.8,1.0
"IPP, commercial and industrial",26487857.0,22092801.0,19804217.0,21029118.0,22812135.0,22441825.0,23130533.0,19465983.0,16330496.0,16838521,14170524,13171706,14550834,13342195,14064402,10856698,12898129,14043775,11893186,13486965,13796387,13503073,12125526,11969252,11346651,8826540,8384878,9529343,10362207,10268551,9316640,9061605,7388762,5788441,5363959,14.7,19.3,22.1,25.8
Battery,-2348.0,-1513.0,-91.0,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Coal,112563.0,90205.0,122481.0,225471.0,199585.0,242423.0,813489.0,727678.0,893986.0,1208327,1775088,1424994,1607523,2637918,4093636,3174650,5997202,5995261,5734471,6621551,7883021,7947628,6983074,7112480,5796761,3701049,3404469,4483521,4551836,4054195,4141711,4687521,3549016,2882365,2899721,7.5,5.6,0.2,0.1
Hydroelectric,110407.0,106974.0,110092.0,111629.0,89158.0,74640.0,68602.0,60014.0,80496.0,86724,73580,83007,74416,78574,75576,82518,63581,65911,80487,93201,92936,111776,27842,40659,62370,61613,72312,80707,89335,77372,75286,66095,72131,67981,48136,0.1,0.1,0.1,0.1
Natural gas,18726789.0,15726838.0,13606770.0,15563322.0,18557978.0,18057114.0,17931041.0,15484922.0,11892144.0,11883098,8834318,8869755,10329179,8270215,7425280,4853295,3964532,4956232,3434359,3880291,2461538,1928392,2258525,2065429,2813477,2039874,2038080,588096,2809049,3550863,2529147,2238431,1298200,626447,376521,3.6,10.2,18.0,18.2
..Natural gas - CC,16637132.0,13627547.0,11454172.0,13357592.0,16073039.0,15830627.0,16128415.0,14298874.0,10683004.0,10943323,8261098,8464914,9934657,8004709,7001058,4530885,3542043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.6,15.6,16.2
..Natural gas - GT,1269418.0,1292306.0,1396888.0,1429467.0,1683165.0,1507827.0,1121468.0,583187.0,654070.0,447697,265295,139614,225071,169198,347437,259441,368633,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,1.6,1.2
..Natural gas - IC,10.0,1.0,20.0,30.0,162.0,1353.0,1582.0,1356.0,791.0,0,0,0,0,0,17,12,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.0,0.0
..Natural gas - ST,820228.0,806984.0,755691.0,776232.0,801612.0,717307.0,679576.0,601504.0,554279.0,492077,307925,265227,169451,96307,76767,62958,53800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.8,0.8
Other,428413.0,478301.0,522940.0,527592.0,557208.0,558317.0,471227.0,213322.0,461826.0,461553,499767,474767,396689,470239,414121,420042,434205,476945,491019,478834,488023,452936,446923,396806,2476,1828,1987,2261,2333,7689,5621,4026,484,.,.,0,0.6,0.5,0.4
Other biomass,792234.0,897978.0,947509.0,987499.0,1066200.0,1078063.0,1169315.0,903606.0,1101848.0,1099390,1092185,955276,918748,776112,815345,709203,782172,773245,678408,695203,699237,673814,663350,598967,464454,1071609,1059387,1053131,898655,696511,652962,427508,759915,701130,620794,0.6,1.1,1.0,0.8
Other gas,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,0,0,2959,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
Petroleum,69134.0,68623.0,220100.0,123332.0,88669.0,94318.0,258105.0,147258.0,153110.0,256910,269420,87552,129663,108247,258935,349250,246931,443009,177112,455524,489202,798022,337890,606805,529944,327711,271454,1912320,591951,481154,516304,342913,430041,317518,244114,0.7,0.4,0.1,0.1
..Petroleum - GT,27636.0,26229.0,64072.0,42065.0,24789.0,17939.0,131505.0,78641.0,104874.0,151714,178256,42259,75720,32535,55592,31251,38500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.0,0.0
..Petroleum - IC,12686.0,15403.0,14117.0,12979.0,15184.0,17438.0,24940.0,24346.0,23099.0,26127,20556,7669,11970,5182,27885,15696,39205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.0,0.0
..Petroleum - OTH,14054.0,7122.0,96948.0,15557.0,390.0,15202.0,45464.0,5044.0,12501.0,63996,53598,3119,862,23438,96733,212045,117470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.0,0.0
..Petroleum - ST,14758.0,19868.0,44963.0,52732.0,48306.0,43739.0,56196.0,39228.0,12635.0,15072,17010,34506,41111,47092,78724,90258,51755,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.0,0.0
Solar,4663912.0,3320146.0,2712439.0,1909681.0,704726.0,685098.0,621705.0,203992.0,15912.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,4.5
..Solar- PV,4663912.0,3320146.0,2712439.0,1909681.0,704726.0,685098.0,621705.0,203992.0,15912.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,4.5
Wood,1586754.0,1405250.0,1561977.0,1580592.0,1548610.0,1651852.0,1797049.0,1725191.0,1731175.0,1842520,1626166,1276356,1094616,1000891,981510,1267740,1409507,1333172,1297332,1262361,1682430,1587545,1407922,1148106,1677170,1622857,1537190,1409307,1419047,1400767,1395609,1295112,1278975,1193000,1174673,2.2,1.3,1.5,1.5
