real_timestamp,hour_of_day,avg_cpu_utilization,num_tasks_sampled
2019-05-01 00:10:00+00:00,0,0.006190668761032992,647356
2019-05-01 00:10:01+00:00,0,0.004091475507338268,139
2019-05-01 00:10:02+00:00,0,0.002711089730959886,171
2019-05-01 00:10:03+00:00,0,0.0033396855749265116,198
2019-05-01 00:10:04+00:00,0,0.0032673404164557905,274
2019-05-01 00:10:05+00:00,0,0.0035588648892188263,258
2019-05-01 00:10:06+00:00,0,0.0014176023633856508,304
2019-05-01 00:10:07+00:00,0,0.0025484962463378897,250
2019-05-01 00:10:08+00:00,0,0.0026209466597613158,340
2019-05-01 00:10:09+00:00,0,0.0024312355148960164,355
2019-05-01 00:10:10+00:00,0,0.0040143807028883895,227
2019-05-01 00:10:11+00:00,0,0.002633478388440008,179
2019-05-01 00:10:12+00:00,0,0.0024159305779508844,129
2019-05-01 00:10:13+00:00,0,0.0024869307032171282,106
2019-05-01 00:10:14+00:00,0,0.0021750673334649277,94
2019-05-01 00:10:15+00:00,0,0.002491385072142214,91
2019-05-01 00:10:16+00:00,0,0.0030106799140650537,191
2019-05-01 00:10:17+00:00,0,0.0029283615357098077,187
2019-05-01 00:10:18+00:00,0,0.00428035873138976,167
2019-05-01 00:10:19+00:00,0,0.0032219000351734663,312
2019-05-01 00:10:20+00:00,0,0.007872652626376375,563
2019-05-01 00:10:21+00:00,0,0.009088405701670688,371
2019-05-01 00:10:22+00:00,0,0.005480414371012552,439
2019-05-01 00:10:23+00:00,0,0.006551908230030834,921
2019-05-01 00:10:24+00:00,0,0.005963142308811681,531
2019-05-01 00:10:25+00:00,0,0.0028274906568290775,242
2019-05-01 00:10:26+00:00,0,0.0024028602221333375,141
2019-05-01 00:10:27+00:00,0,0.003130252544696514,195
2019-05-01 00:10:28+00:00,0,0.0027214586734771733,192
2019-05-01 00:10:29+00:00,0,0.002906778733507335,139
2019-05-01 00:10:30+00:00,0,0.0029591124827467534,254
2019-05-01 00:10:31+00:00,0,0.002565542006875103,187
2019-05-01 00:10:32+00:00,0,0.0021553906527432528,176
2019-05-01 00:10:33+00:00,0,0.0015252564340976647,406
2019-05-01 00:10:34+00:00,0,0.0016098938166955604,427
2019-05-01 00:10:35+00:00,0,0.002065201551815116,409
2019-05-01 00:10:36+00:00,0,0.001679904917453198,376
2019-05-01 00:10:37+00:00,0,0.0027577666198315264,294
2019-05-01 00:10:38+00:00,0,0.0026022834437234065,224
2019-05-01 00:10:39+00:00,0,0.0025069353057117,205
2019-05-01 00:10:40+00:00,0,0.003020736741723481,161
2019-05-01 00:10:41+00:00,0,0.0030762102002295376,214
2019-05-01 00:10:42+00:00,0,0.002997953626844618,225
2019-05-01 00:10:43+00:00,0,0.0024433765771254058,212
2019-05-01 00:10:44+00:00,0,0.0033005388771615383,164
2019-05-01 00:10:45+00:00,0,0.0016370239257812499,125
2019-05-01 00:10:46+00:00,0,0.0021784928467896616,111
2019-05-01 00:10:47+00:00,0,0.002343189716339111,160
2019-05-01 00:10:48+00:00,0,0.0024517729827568395,293
2019-05-01 00:10:49+00:00,0,0.003943450504946771,397
2019-05-01 00:10:50+00:00,0,0.004539299742015386,261
2019-05-01 00:10:51+00:00,0,0.004891700852693987,353
2019-05-01 00:10:52+00:00,0,0.0019721705193393737,682
2019-05-01 00:10:53+00:00,0,0.0020789713070618384,961
2019-05-01 00:10:54+00:00,0,0.003359359097983294,1281
2019-05-01 00:10:55+00:00,0,0.003925445119466444,541
2019-05-01 00:10:56+00:00,0,0.0024790439790892374,206
2019-05-01 00:10:57+00:00,0,0.0026892937554253466,225
2019-05-01 00:10:58+00:00,0,0.001483888461672027,232
2019-05-01 00:10:59+00:00,0,0.003177502240792689,251
2019-05-01 00:11:00+00:00,0,0.002532254094662874,161
2019-05-01 00:11:01+00:00,0,0.0027050130507525277,238
2019-05-01 00:11:02+00:00,0,0.0029684681432983807,301
2019-05-01 00:11:03+00:00,0,0.002488467876727764,325
2019-05-01 00:11:04+00:00,0,0.0028040178360477564,310
2019-05-01 00:11:05+00:00,0,0.0029704158467457713,399
2019-05-01 00:11:06+00:00,0,0.0038629777360670624,505
2019-05-01 00:11:07+00:00,0,0.003060750150487489,494
2019-05-01 00:11:08+00:00,0,0.002412378237119663,541
2019-05-01 00:11:09+00:00,0,0.0023253901251431165,290
2019-05-01 00:11:10+00:00,0,0.0022770832111309106,308
2019-05-01 00:11:11+00:00,0,0.0030034512012928455,222
2019-05-01 00:11:12+00:00,0,0.0047415324619838155,203
2019-05-01 00:11:13+00:00,0,0.0031012694040934256,168
2019-05-01 00:11:14+00:00,0,0.0024815269138502034,115
2019-05-01 00:11:15+00:00,0,0.0012505189427789653,106
2019-05-01 00:11:16+00:00,0,0.0021044124256480827,176
2019-05-01 00:11:17+00:00,0,0.0023483016274192113,330
2019-05-01 00:11:18+00:00,0,0.003565567937390556,290
2019-05-01 00:11:19+00:00,0,0.0028547140268179072,273
2019-05-01 00:11:20+00:00,0,0.004316580100137682,488
2019-05-01 00:11:21+00:00,0,0.00331165818388824,514
2019-05-01 00:11:22+00:00,0,0.0027324274966591283,285
2019-05-01 00:11:23+00:00,0,0.0031780345099312922,280
2019-05-01 00:11:24+00:00,0,0.0023314181756796002,269
2019-05-01 00:11:25+00:00,0,0.0027506351470947257,196
2019-05-01 00:11:26+00:00,0,0.003333467024343984,216
2019-05-01 00:11:27+00:00,0,0.0030959679530217104,260
2019-05-01 00:11:28+00:00,0,0.0020814673610465234,189
2019-05-01 00:11:29+00:00,0,0.0038227252106168407,201
2019-05-01 00:11:30+00:00,0,0.004523200446395511,211
2019-05-01 00:11:31+00:00,0,0.0045263147078497545,173
2019-05-01 00:11:32+00:00,0,0.002320756514867148,192
2019-05-01 00:11:33+00:00,0,0.003719788563402394,158
2019-05-01 00:11:34+00:00,0,0.002630589114632576,314
2019-05-01 00:11:35+00:00,0,0.002719553311665852,240
2019-05-01 00:11:36+00:00,0,0.0019529675537685175,212
2019-05-01 00:11:37+00:00,0,0.004108897800552114,179
2019-05-01 00:11:38+00:00,0,0.002677426073286271,720
2019-05-01 00:11:39+00:00,0,0.002542705195290705,1120
2019-05-01 00:11:40+00:00,0,0.002368057743784341,418
2019-05-01 00:11:41+00:00,0,0.002881134549776714,192
2019-05-01 00:11:42+00:00,0,0.003490453674679711,168
2019-05-01 00:11:43+00:00,0,0.003139945224941714,191
2019-05-01 00:11:44+00:00,0,0.0025784070374535737,183
2019-05-01 00:11:45+00:00,0,0.0012312679755978465,205
2019-05-01 00:11:46+00:00,0,0.0017920094527964917,327
2019-05-01 00:11:47+00:00,0,0.0017029171559348039,268
2019-05-01 00:11:48+00:00,0,0.0022804699838161477,256
2019-05-01 00:11:49+00:00,0,0.002900827799411801,302
2019-05-01 00:11:50+00:00,0,0.0033997336099314142,215
2019-05-01 00:11:51+00:00,0,0.0022438072158904847,167
2019-05-01 00:11:52+00:00,0,0.0008166355832142578,693
2019-05-01 00:11:53+00:00,0,0.0008690984625565391,874
2019-05-01 00:11:54+00:00,0,0.002282204166535409,279
2019-05-01 00:11:55+00:00,0,0.002500512383200905,220
2019-05-01 00:11:56+00:00,0,0.0020109415054321293,232
2019-05-01 00:11:57+00:00,0,0.002764844005892737,161
2019-05-01 00:11:58+00:00,0,0.002234713631387083,161
2019-05-01 00:11:59+00:00,0,0.0012708578023824595,555
2019-05-01 00:12:00+00:00,0,0.0013596152832577417,894
2019-05-01 00:12:01+00:00,0,0.0023117106359915674,233
2019-05-01 00:12:02+00:00,0,0.003991951261247906,140
2019-05-01 00:12:03+00:00,0,0.003893699645996093,175
2019-05-01 00:12:04+00:00,0,0.0058796968483286775,411
2019-05-01 00:12:05+00:00,0,0.004573856203359517,279
2019-05-01 00:12:06+00:00,0,0.00370436761437393,164
2019-05-01 00:12:07+00:00,0,0.002774496763450667,181
2019-05-01 00:12:08+00:00,0,0.00295607787741106,177
2019-05-01 00:12:09+00:00,0,0.002228182787335786,179
