east_north_central,22969,21435,21651,22234,23222,22044,20926,20169,19783,20534,21348,0,1029,1008,1009,996,1011,922,917,933,924,925,921,0_1,w,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,0_2
East South Central,9345,8652,8784,9616,9773,9896.0,9052.0,8921.0,9342.0,10056.0,10468.0,0,1043.0,1024.0,963.0,936.0,938.0,987.0,1031.0,1127.0,1106.0,1102.0,1093.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alabama,2799,2816,2912,2681,2715,2699.0,2567.0,2553.0,2512.0,2579.0,2682.0,0,254.0,254.0,252.0,252.0,252.0,254.0,255.0,255.0,255.0,255.0,254.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kentucky,4496,4019,3709,4924,5108,5223.0,4918.0,4501.0,4679.0,5219.0,5737.0,0,292.0,296.0,299.0,298.0,304.0,294.0,296.0,303.0,302.0,312.0,311.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mississippi,W,W,W,W,W,,,,,,,0,17.0,18.0,17.0,18.0,18.0,18.0,16.0,17.0,17.0,16.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tennessee,1527,1315,1698,1597,1524,1595.0,1216.0,1493.0,1783.0,1878.0,1582.0,0,481.0,457.0,395.0,367.0,365.0,421.0,463.0,553.0,532.0,519.0,511.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
West South Central,22563,21811,22854,23750,24049,23662.0,22471.0,21583.0,21011.0,21259.0,21775.0,0,2067.0,2073.0,2043.0,2094.0,2098.0,2031.0,2011.0,2007.0,1977.0,1979.0,1975.0,0,,,,,,,,,,,,0
Arkansas,3498,3270,3656,4143,4460,4751.0,4453.0,4562.0,4596.0,4563.0,4496.0,0,163.0,164.0,160.0,154.0,159.0,149.0,153.0,152.0,147.0,144.0,148.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Louisiana,3958,3822,4054,3935,3859,3841.0,3976.0,3899.0,3951.0,4082.0,4077.0,0,176.0,174.0,177.0,184.0,178.0,172.0,174.0,172.0,169.0,172.0,170.0,0,,,,,,,,,,,,0
Oklahoma,3907,3780,3675,3848,4194,4120.0,3873.0,3727.0,3637.0,3523.0,3347.0,0,22.0,29.0,20.0,19.0,16.0,24.0,18.0,26.0,21.0,21.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Texas,11200,10939,11468,11824,11536,10950.0,10168.0,9394.0,8826.0,9092.0,9855.0,0,1706.0,1706.0,1686.0,1736.0,1745.0,1686.0,1666.0,1656.0,1639.0,1641.0,1621.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mountain,16823,16061,16362,17074,17349,17227.0,16755.0,16269.0,16179.0,16144.0,15889.0,0,325.0,312.0,312.0,288.0,282.0,274.0,280.0,287.0,278.0,281.0,303.0,0,,,,,,,,,,,,0
Arizona,3750,3514,3524,3671,3674,3702.0,3589.0,3456.0,3362.0,3470.0,3429.0,0,122.0,120.0,128.0,108.0,105.0,101.0,103.0,111.0,106.0,101.0,127.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colorado,3170,3059,3203,3313,3536,3611.0,3691.0,3773.0,4021.0,4104.0,3969.0,0,119.0,114.0,111.0,107.0,104.0,108.0,107.0,104.0,104.0,110.0,109.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Idaho,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37,0.36,0.36,0.36,0.36,0.34,0.34,0.34,0.32,0.32,0.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Montana,W,W,W,W,W,,,,,,,0,13.0,12.0,12.0,14.0,13.0,10.0,13.0,13.0,11.0,12.0,12.0,0,,,,,,,,,,,,0
Nevada,W,W,W,W,W,,,,,,,0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New Mexico,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Utah,3591,3446,3433,3820,4002,3931.0,3900.0,3729.0,3534.0,3421.0,3234.0,0,36.0,33.0,30.0,27.0,27.0,26.0,26.0,23.0,21.0,22.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wyoming,4966,4756,4986,5054,4944,4833.0,4492.0,4320.0,4308.0,4242.0,4415.0,0,29.0,27.0,25.0,25.0,27.0,23.0,25.0,29.0,29.0,30.0,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pacific Contiguous,W,W,W,W,W,,,,,,,0,322.0,321.0,315.0,315.0,312.0,305.0,299.0,295.0,294.0,291.0,284.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
California,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,163.0,164.0,161.0,163.0,163.0,159.0,157.0,155.0,156.0,155.0,153.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oregon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43.0,41.0,39.0,37.0,35.0,33.0,31.0,29.0,27.0,25.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Washington,W,W,W,W,W,,,,,,,0,116.0,116.0,115.0,114.0,114.0,113.0,111.0,111.0,111.0,111.0,109.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pacific Noncontiguous,W,W,W,W,W,0.0,0.0,0.0,0.0,0.0,0.0,0,891.0,846.0,931.0,941.0,1048.0,1031.0,1039.0,1088.0,988.0,1006.0,1006.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alaska,W,W,W,W,W,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0,19.0,17.0,13.0,12.0,11.0,11.0,6.0,6.0,5.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hawaii,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,866.0,826.0,914.0,928.0,1036.0,1020.0,1028.0,1082.0,982.0,1000.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
U.S. Total,113293,106813,111665,115929,119508,116434.0,108749.0,104584.0,105402.0,108939.0,111811.0,0,21286.0,21353.0,21576.0,22016.0,22221.0,21416.0,21022.0,21232.0,21093.0,21075.0,21247.0,0,395.0,405.0,368.0,358.0,390.0,342.0,326.0,334.0,278.0,287.0,311.0,0
