category,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990
..Facility direct sales,37517.0,2039.0,0.0,0.0,0.0,13045.0,5661.0,2004.0,2355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145461.0,151499.0,161349.0,155313.0,196028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total electric industry sales,138044772.0,132318505.0,132264617.0,125245196.0,117254388.0,118435380.0,118166348.0,111529732.0,112280665.0,112009045.0,112098381.0,110511827.0,107794985.0,110228265.0,113806135.0,108462463.0,110106337.0,111569552.0,106721241.0,108849552.0,105424173.0,101509731.0,100814598.0,96453175.0,96715402.0,93032468.0,90608523.0,87420340.0,87595643.0,85162485.0,82210138.0,81371781.0,76448426.0,75111148.0,72696269.0
Direct use,2468908.0,2349847.0,2420014.0,2642894.0,2748969.0,2774097.0,2789651.0,2686351.0,2693188.0,2741042.0,1576943.0,2452991.0,2081360.0,1845371.0,1989510.0,2436293.0,2696683.0,2438542.0,2618130.0,2577487.0,2998532.0,2995409.0,2957850.0,2894919.0,2882976.0,2983983.0,3093533.0,3012075.0,2960768.0,2699123.0,2737415.0,2713544.0,3111171.0,2763433.0,2626953.0
Total international exports,0.0,0.0,0.0,0.0,0.0,0.0,856.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estimated losses,6441107.0,5860012.0,7154387.0,5892345.0,6530397.0,6422026.0,6094743.0,6067042.0,5860049.0,5587644.0,5836956.0,5936655.0,5837525.0,6811405.0,7030689.0,6904441.0,7013828.0,7061513.0,6919685.0,7275040.0,7725061.0,7453669.0,7562065.0,7542972.0,7522840.0,7298595.0,6442963.0,6591226.0,6799322.0,6500047.0,6245203.0,6512481.0,6043537.0,5767394.0,5519159.0
Unaccounted,1093074.0,671322.0,-238995.0,799906.0,-176146.0,295679.0,738729.0,777252.0,1393224.0,1745730.0,1449400.0,1667101.0,1843333.0,698303.0,998622.0,977731.0,1437912.0,1778155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net interstate exports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total disposition,148047861.0,141199686.0,141600023.0,134580341.0,126357609.0,127927182.0,127790327.0,121060411.0,122227127.0,122083461.0,120961680.0,120568574.0,117557203.0,119583344.0,123824956.0,118780928.0,121254760.0,122847762.0,118747270.0,121319489.0,118358364.0,113022816.0,112217393.0,106747551.0,108430997.0,104603431.0,101207918.0,97981643.0,98395781.0,95862671.0,92205125.0,91680819.0,86030818.0,84129416.0,81441946.0
Net interstate trade,-45349246.0,-50140342.0,-52122698.0,-41102159.0,-23301608.0,-31099543.0,-32250714.0,-30615042.0,-29672251.0,-37671869.0,-43824242.0,-43672009.0,-46817968.0,-52912485.0,-50858500.0,-48698862.0,-48576229.0,-44487255.0,-45677733.0,-42376444.0,-39458324.0,-37713380.0,-37211367.0,-32642807.0,-31241626.0,-30705823.0,-29008475.0,-29466309.0,-31500656.0,-32866650.0,-30156199.0,-30437308.0,-29678463.0,-29400320.0,-28877488.0
Net trade index (ratio),0.69,0.64,0.63,0.69,0.82,0.76,0.75,0.75,0.76,0.69,0.64,0.64,0.6,0.56,0.59,0.59,0.6,0.64,0.62,0.65,0.67,0.67,0.67,0.69,0.71,0.71,0.71,0.7,0.68,0.66,0.67,0.67,0.66,0.65,0.65
"Facility Direct Sales are electricity sales from non utility power producers which reported electricity sales to an ultimate customer.
Net Interstate Trade = Total Supply - (Total Electric Industry Sales + Direct Use + Total International Exports (if applies) + Estimated Losses).
Net Trade Index is the sum of Total Supply / (Total Disposition - Net Interstate Trade).
A negative Net Interstate Trade value indicates a net import of electric power.
Notes: Totals may not equal sum of components because of independent rounding. Estimated Losses are reported at the utility level,   and then allocated to States based on the utility`s salesto ultimate customers by State. Reported losses may include electricity unaccounted for by the utility.   Direct use is commercial or industrial use of electricity that (1) is self-generated (2) is produced by either the same entity that consumes the power or an affiliate,and (3) is used in direct support of a service or industrial process located within the same facility or group of facilities that houses the generating equipment.   Direct use is exclusive of station use. Beginning with publication year 2010, Total disposition has been reorganized to include Net Interstate Trade.    Therefore, Total Disposition equals Total Supply.
Data Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms. U.S. Energy Information Administration,Form EIA-860, Annual Electric Generator Report. U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.  Form EIA-111, Quarterly Imports and Exports Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
