fuel_group,capacity_mw_2024,share_pct_2024
Coal,1530.1,5.2
Hydroelectric,866.6,3.0
Natural gas,13712.9,47.0
Nuclear,3568.0,12.2
Petroleum,741.6,2.5
Pumped storage,3253.1,11.2
Solar,4678.4,16.1
Wind,12.0,0.0
Wood,489.7,1.7
