stage,param_idx,params,fold,MAE,RMSE,MAPE,sMAPE,R2
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",1,0.002185769686295107,0.003291219892691358,48.94355271603257,49.13570289788177,-0.2132923509726956
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",2,0.0013468667489304007,0.0018417227102866846,49.35995914961499,37.57346382034361,-0.022758907238843218
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",3,0.001276786082294255,0.0017208722589916049,46.02396192296594,36.91117394661958,-0.010090872831822528
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",4,0.000937854958159565,0.0012522686138918167,44.75286179055536,32.23333359715746,-0.12947310488198815
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",5,0.0011571249788771716,0.0016756842642741817,37.8469934774396,33.41159262892142,0.07781256830285299
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",1,0.0021536066525561287,0.003243582383704531,49.00041272982967,48.235999563425096,-0.17842385968779273
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",2,0.001371553114592799,0.0018679151263948858,50.05596024550515,38.098421688565004,-0.05205649458670103
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3,0.0012557095204490483,0.0017003736578623408,45.40506933993233,36.4178433786519,0.013829706655098084
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",4,0.000949920570870184,0.0012626951393265784,45.343954008142475,32.55582198451547,-0.1483596377794716
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",5,0.0011718661701175545,0.0016900808980155344,38.38106282585272,33.788723277868776,0.061898559892513694
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",1,0.0021883606100878894,0.003285721666038649,48.540997328813454,49.186738653085264,-0.20924194753835623
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",2,0.0014177616191461,0.0018854897783981822,52.486653310165345,39.156091409999824,-0.07194659314396423
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",3,0.0012954121012827603,0.0017357349384112357,47.45938839949733,37.37058590919099,-0.02761394783207627
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",4,0.0009549591951773483,0.0012670493401407065,45.85229390072097,32.658407796994936,-0.15629315947608347
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",5,0.0011699065640286394,0.0016788661726570644,38.429536317675115,33.76446054756323,0.07430701307870935
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",1,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",2,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",3,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",4,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",5,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",1,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",2,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",3,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",4,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",5,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
stage5_ci,3,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.02, ""max_depth"": 6, ""n_estimators"": 700, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""subsample"": 0.85}",1,9.129067279900482e-06,9.129067279900482e-06,2.5693589017012033e-06,2.5693588686931785e-06,-6448110075015624.0
